"CURRENCY","RATE_DATE","FX_RATE_TO_EUR"
"GBP",2024-08-18,1.14582786
"GBP",2024-08-19,1.20330718
"GBP",2024-08-20,1.15931767
"GBP",2024-08-21,1.20978987
"GBP",2024-08-22,1.15861177
"GBP",2024-08-23,1.17281498
"GBP",2024-08-24,1.16016979
"GBP",2024-08-25,1.20779268
"GBP",2024-08-26,1.13193747
"GBP",2024-08-27,1.16211968
"GBP",2024-08-28,1.19256789
"GBP",2024-08-29,1.191353
"GBP",2024-08-30,1.20335925
"GBP",2024-08-31,1.15720293
"GBP",2024-09-01,1.15466505
"GBP",2024-09-02,1.14959097
"GBP",2024-09-03,1.13964216
"GBP",2024-09-04,1.19661507
"GBP",2024-09-05,1.13360088
"GBP",2024-09-06,1.20729092
"GBP",2024-09-07,1.17018372
"GBP",2024-09-08,1.16224438
"GBP",2024-09-09,1.1796074
"GBP",2024-09-10,1.18724767
"GBP",2024-09-11,1.20749557
"GBP",2024-09-12,1.18336278
"GBP",2024-09-13,1.14931583
"GBP",2024-09-14,1.15401166
"GBP",2024-09-15,1.14839308
"GBP",2024-09-16,1.16142346
"GBP",2024-09-17,1.17046089
"GBP",2024-09-18,1.15943052
"GBP",2024-09-19,1.18050423
"GBP",2024-09-20,1.19486991
"GBP",2024-09-21,1.18280163
"GBP",2024-09-22,1.14396942
"GBP",2024-09-23,1.15207297
"GBP",2024-09-24,1.18166928
"GBP",2024-09-25,1.15483839
"GBP",2024-09-26,1.189701
"GBP",2024-09-27,1.16351823
"GBP",2024-09-28,1.15888231
"GBP",2024-09-29,1.13338019
"GBP",2024-09-30,1.16558036
"GBP",2024-10-01,1.16465402
"GBP",2024-10-02,1.15146173
"GBP",2024-10-03,1.15505521
"GBP",2024-10-04,1.14846053
"GBP",2024-10-05,1.19848933
"GBP",2024-10-06,1.13588188
"GBP",2024-10-07,1.17524498
"GBP",2024-10-08,1.16868668
"GBP",2024-10-09,1.18436251
"GBP",2024-10-10,1.18218527
"GBP",2024-10-11,1.13435977
"GBP",2024-10-12,1.14332342
"GBP",2024-10-13,1.17666996
"GBP",2024-10-14,1.1786335
"GBP",2024-10-15,1.15380153
"GBP",2024-10-16,1.17700485
"GBP",2024-10-17,1.20423844
"GBP",2024-10-18,1.20063068
"GBP",2024-10-19,1.15722321
"GBP",2024-10-20,1.1824417
"GBP",2024-10-21,1.14698959
"GBP",2024-10-22,1.16536952
"GBP",2024-10-23,1.20532243
"GBP",2024-10-24,1.14543222
"GBP",2024-10-25,1.2088722
"GBP",2024-10-26,1.17950344
"GBP",2024-10-27,1.20929197
"GBP",2024-10-28,1.17316038
"GBP",2024-10-29,1.14549738
"GBP",2024-10-30,1.13698107
"GBP",2024-10-31,1.16287128
"GBP",2024-11-01,1.20483774
"GBP",2024-11-02,1.18370611
"GBP",2024-11-03,1.20466261
"GBP",2024-11-04,1.20570821
"GBP",2024-11-05,1.19598489
"GBP",2024-11-06,1.18924466
"GBP",2024-11-07,1.1945608
"GBP",2024-11-08,1.19269834
"GBP",2024-11-09,1.20275559
"GBP",2024-11-10,1.13360874
"GBP",2024-11-11,1.17482066
"GBP",2024-11-12,1.17275395
"GBP",2024-11-13,1.14717419
"GBP",2024-11-14,1.16350341
"GBP",2024-11-15,1.20660316
"GBP",2024-11-16,1.19097427
"GBP",2024-11-17,1.14631141
"GBP",2024-11-18,1.17229996
"GBP",2024-11-19,1.1820616
"GBP",2024-11-20,1.1621427
"GBP",2024-11-21,1.18050782
"GBP",2024-11-22,1.19425183
"GBP",2024-11-23,1.20870261
"GBP",2024-11-24,1.18101258
"GBP",2024-11-25,1.16352623
"GBP",2024-11-26,1.20096517
"GBP",2024-11-27,1.15434717
"GBP",2024-11-28,1.19162091
"GBP",2024-11-29,1.13398671
"GBP",2024-11-30,1.14286294
"GBP",2024-12-01,1.20811625
"GBP",2024-12-02,1.16352443
"GBP",2024-12-03,1.15806862
"GBP",2024-12-04,1.17684788
"GBP",2024-12-05,1.13006798
"GBP",2024-12-06,1.20930832
"GBP",2024-12-07,1.15591461
"GBP",2024-12-08,1.16319431
"GBP",2024-12-09,1.13649987
"GBP",2024-12-10,1.16976044
"GBP",2024-12-11,1.20784718
"GBP",2024-12-12,1.16545134
"GBP",2024-12-13,1.19997715
"GBP",2024-12-14,1.19961589
"GBP",2024-12-15,1.180493
"GBP",2024-12-16,1.16197268
"GBP",2024-12-17,1.18629669
"GBP",2024-12-18,1.16174363
"GBP",2024-12-19,1.17117216
"GBP",2024-12-20,1.15156503
"GBP",2024-12-21,1.16143467
"GBP",2024-12-22,1.1436682
"GBP",2024-12-23,1.20974921
"GBP",2024-12-24,1.13568368
"GBP",2024-12-25,1.13388386
"GBP",2024-12-26,1.15836397
"GBP",2024-12-27,1.17467128
"GBP",2024-12-28,1.14900978
"GBP",2024-12-29,1.18732912
"GBP",2024-12-30,1.1999716
"GBP",2024-12-31,1.2021076
"GBP",2025-01-01,1.19267706
"GBP",2025-01-02,1.14622277
"GBP",2025-01-03,1.15082421
"GBP",2025-01-04,1.18045662
"GBP",2025-01-05,1.17488863
"GBP",2025-01-06,1.17206227
"GBP",2025-01-07,1.1730888
"GBP",2025-01-08,1.19669771
"GBP",2025-01-09,1.13310303
"GBP",2025-01-10,1.15073471
"GBP",2025-01-11,1.14415859
"GBP",2025-01-12,1.20775129
"GBP",2025-01-13,1.17203875
"GBP",2025-01-14,1.15175859
"GBP",2025-01-15,1.15100081
"GBP",2025-01-16,1.14622451
"GBP",2025-01-17,1.18499931
"GBP",2025-01-18,1.13275621
"GBP",2025-01-19,1.20469839
"GBP",2025-01-20,1.1425302
"GBP",2025-01-21,1.18578184
"GBP",2025-01-22,1.20528912
"GBP",2025-01-23,1.13373592
"GBP",2025-01-24,1.14854662
"GBP",2025-01-25,1.13200011
"GBP",2025-01-26,1.19188839
"GBP",2025-01-27,1.2027399
"GBP",2025-01-28,1.19585766
"GBP",2025-01-29,1.1873971
"GBP",2025-01-30,1.19927992
"GBP",2025-01-31,1.14802221
"GBP",2025-02-01,1.14587137
"GBP",2025-02-02,1.15272263
"GBP",2025-02-03,1.19058465
"GBP",2025-02-04,1.1783038
"GBP",2025-02-05,1.13033997
"GBP",2025-02-06,1.16203942
"GBP",2025-02-07,1.16270469
"GBP",2025-02-08,1.16719071
"GBP",2025-02-09,1.16507571
"GBP",2025-02-10,1.2070314
"GBP",2025-02-11,1.17590222
"GBP",2025-02-12,1.16892345
"GBP",2025-02-13,1.19360378
"GBP",2025-02-14,1.18319326
"GBP",2025-02-15,1.16466901
"GBP",2025-02-16,1.14597372
"GBP",2025-02-17,1.19068299
"GBP",2025-02-18,1.13664007
"GBP",2025-02-19,1.15306235
"GBP",2025-02-20,1.18720148
"GBP",2025-02-21,1.20479162
"GBP",2025-02-22,1.18261824
"GBP",2025-02-23,1.20370752
"GBP",2025-02-24,1.14065422
"GBP",2025-02-25,1.19467717
"GBP",2025-02-26,1.20811116
"GBP",2025-02-27,1.14356411
"GBP",2025-02-28,1.16631428
"GBP",2025-03-01,1.15228573
"GBP",2025-03-02,1.16134219
"GBP",2025-03-03,1.19111101
"GBP",2025-03-04,1.13256908
"GBP",2025-03-05,1.15582566
"GBP",2025-03-06,1.13131936
"GBP",2025-03-07,1.19246239
"GBP",2025-03-08,1.20809126
"GBP",2025-03-09,1.20407817
"GBP",2025-03-10,1.18446329
"GBP",2025-03-11,1.18819153
"GBP",2025-03-12,1.18130022
"GBP",2025-03-13,1.18203071
"GBP",2025-03-14,1.17865843
"GBP",2025-03-15,1.16362183
"GBP",2025-03-16,1.20613398
"GBP",2025-03-17,1.1589751
"GBP",2025-03-18,1.15995813
"GBP",2025-03-19,1.14970963
"HUF",2025-03-20,0.00279615
"HUF",2025-03-21,0.0024432
"HUF",2025-03-22,0.00242475
"HUF",2025-03-23,0.00264971
"HUF",2025-03-24,0.00270325
"HUF",2025-03-25,0.00255008
"HUF",2025-03-26,0.00271494
"HUF",2025-03-27,0.00254338
"HUF",2025-03-28,0.00240274
"HUF",2025-03-29,0.00250417
"HUF",2025-03-30,0.00277074
"HUF",2025-03-31,0.00242309
"HUF",2025-04-01,0.00251313
"HUF",2025-04-02,0.00271691
"HUF",2025-04-03,0.00246908
"HUF",2025-04-04,0.0025988
"HUF",2025-04-05,0.00270451
"HUF",2025-04-06,0.00279175
"HUF",2025-04-07,0.00254182
"HUF",2025-04-08,0.00258507
"HUF",2025-04-09,0.00268841
"HUF",2025-04-10,0.00253828
"HUF",2025-04-11,0.0024643
"HUF",2025-04-12,0.00273637
"HUF",2025-04-13,0.00256357
"HUF",2025-04-14,0.00267649
"HUF",2025-04-15,0.00268342
"HUF",2025-04-16,0.00266668
"HUF",2025-04-17,0.00251883
"HUF",2025-04-18,0.00241288
"HUF",2025-04-19,0.00246709
"HUF",2025-04-20,0.00244942
"HUF",2025-04-21,0.00276659
"HUF",2025-04-22,0.00241531
"HUF",2025-04-23,0.00271753
"HUF",2025-04-24,0.00248482
"HUF",2025-04-25,0.00266151
"HUF",2025-04-26,0.00247165
"HUF",2025-04-27,0.00244894
"HUF",2025-04-28,0.00241559
"HUF",2025-04-29,0.0026333
"HUF",2025-04-30,0.00277734
"HUF",2025-05-01,0.0027354
"HUF",2025-05-02,0.00250358
"HUF",2025-05-03,0.0026873
"HUF",2025-05-04,0.00274139
"HUF",2025-05-05,0.00248976
"HUF",2025-05-06,0.00256101
"HUF",2025-05-07,0.00265191
"HUF",2025-05-08,0.00278512
"HUF",2025-05-09,0.00275318
"HUF",2025-05-10,0.00266908
"HUF",2025-05-11,0.00268316
"HUF",2025-05-12,0.00261409
"HUF",2025-05-13,0.00243492
"HUF",2025-05-14,0.00255972
"HUF",2025-05-15,0.00271969
"HUF",2025-05-16,0.00270817
"HUF",2025-05-17,0.00251638
"HUF",2025-05-18,0.00242208
"HUF",2025-05-19,0.00256296
"HUF",2025-05-20,0.00278202
"HUF",2025-05-21,0.0025928
"HUF",2025-05-22,0.00276933
"HUF",2025-05-23,0.00251948
"HUF",2025-05-24,0.00268827
"HUF",2025-05-25,0.00250791
"HUF",2025-05-26,0.00277463
"HUF",2025-05-27,0.00278856
"HUF",2025-05-28,0.00251802
"HUF",2025-05-29,0.00261439
"HUF",2025-05-30,0.0025378
"HUF",2025-05-31,0.00276909
"HUF",2025-06-01,0.00247723
"HUF",2025-06-02,0.00268866
"HUF",2025-06-03,0.00257571
"HUF",2025-06-04,0.00247968
"HUF",2025-06-05,0.00255406
"HUF",2025-06-06,0.00249738
"HUF",2025-06-07,0.00241548
"HUF",2025-06-08,0.00266161
"HUF",2025-06-09,0.0026366
"HUF",2025-06-10,0.00253576
"HUF",2025-06-11,0.00240199
"HUF",2025-06-12,0.00262698
"HUF",2025-06-13,0.002502
"HUF",2025-06-14,0.00260914
"HUF",2025-06-15,0.00268628
"HUF",2025-06-16,0.00272348
"HUF",2025-06-17,0.00243391
"HUF",2025-06-18,0.0025069
"HUF",2025-06-19,0.00242446
"HUF",2025-06-20,0.00245367
"HUF",2025-06-21,0.00264174
"HUF",2025-06-22,0.00278492
"HUF",2025-06-23,0.00275278
"HUF",2025-06-24,0.00266561
"HUF",2025-06-25,0.00244331
"HUF",2025-06-26,0.00247822
"HUF",2025-06-27,0.00267586
"HUF",2025-06-28,0.00245941
"HUF",2025-06-29,0.00270414
"HUF",2025-06-30,0.00269881
"HUF",2025-07-01,0.002621
"HUF",2025-07-02,0.00246234
"HUF",2025-07-03,0.00264184
"HUF",2025-07-04,0.00244479
"HUF",2025-07-05,0.00276284
"HUF",2025-07-06,0.00276815
"HUF",2025-07-07,0.0025323
"HUF",2025-07-08,0.00257519
"HUF",2025-07-09,0.0025813
"HUF",2025-07-10,0.00254478
"HUF",2025-07-11,0.00265214
"HUF",2025-07-12,0.00242407
"HUF",2025-07-13,0.00278993
"HUF",2025-07-14,0.00248403
"HUF",2025-07-15,0.00240194
"HUF",2025-07-16,0.00265561
"HUF",2025-07-17,0.00244296
"HUF",2025-07-18,0.00272218
"HUF",2025-07-19,0.00261481
"HUF",2025-07-20,0.0027991
"HUF",2025-07-21,0.00244223
"HUF",2025-07-22,0.00275975
"HUF",2025-07-23,0.0025993
"HUF",2025-07-24,0.00249058
"HUF",2025-07-25,0.00263471
"HUF",2025-07-26,0.00252054
"HUF",2025-07-27,0.00276688
"HUF",2025-07-28,0.00245156
"HUF",2025-07-29,0.00253909
"HUF",2025-07-30,0.0024582
"HUF",2025-07-31,0.00279619
"HUF",2025-08-01,0.00263648
"HUF",2025-08-02,0.00272395
"HUF",2025-08-03,0.00247844
"HUF",2025-08-04,0.00258055
"HUF",2025-08-05,0.00276483
"HUF",2025-08-06,0.00259513
"HUF",2025-08-07,0.0026343
"HUF",2025-08-08,0.00278433
"HUF",2025-08-09,0.00246758
"HUF",2025-08-10,0.00246826
"HUF",2025-08-11,0.00268605
"HUF",2025-08-12,0.00253097
"HUF",2025-08-13,0.0024144
"HUF",2025-08-14,0.0025377
"HUF",2025-08-15,0.00264368
"HUF",2025-08-16,0.00264053
"HUF",2025-08-17,0.00279574
"HUF",2025-08-18,0.00258779
"HUF",2025-08-19,0.00265812
"HUF",2025-08-20,0.00247732
"HUF",2025-08-21,0.00271808
"HUF",2025-08-22,0.00241917
"HUF",2025-08-23,0.00250345
"HUF",2025-08-24,0.00278939
"HUF",2025-08-25,0.00245571
"HUF",2025-08-26,0.00258288
"HUF",2025-08-27,0.00260872
"HUF",2025-08-28,0.00249635
"HUF",2025-08-29,0.00250192
"HUF",2025-08-30,0.00242636
"HUF",2025-08-31,0.00252849
"HUF",2025-09-01,0.00241167
"HUF",2025-09-02,0.00250525
"HUF",2025-09-03,0.00262322
"HUF",2025-09-04,0.00243269
"HUF",2025-09-05,0.0027889
"HUF",2025-09-06,0.00258506
"HUF",2025-09-07,0.00271833
"HUF",2025-09-08,0.00278627
"HUF",2025-09-09,0.00272319
"HUF",2025-09-10,0.00251123
"HUF",2025-09-11,0.00260824
"HUF",2025-09-12,0.00274578
"HUF",2025-09-13,0.0024135
"HUF",2025-09-14,0.00257992
"HUF",2025-09-15,0.00260343
"HUF",2025-09-16,0.00243983
"HUF",2025-09-17,0.00248632
"HUF",2025-09-18,0.0024225
"HUF",2025-09-19,0.00277865
"HUF",2025-09-20,0.00244419
"HUF",2025-09-21,0.00276965
"HUF",2025-09-22,0.00255825
"HUF",2025-09-23,0.00256165
"HUF",2025-09-24,0.00278558
"HUF",2025-09-25,0.00269219
"HUF",2025-09-26,0.00250683
"HUF",2025-09-27,0.00268716
"HUF",2025-09-28,0.0026769
"HUF",2025-09-29,0.00246675
"HUF",2025-09-30,0.00262148
"HUF",2025-10-01,0.00276278
"HUF",2025-10-02,0.002796
"HUF",2025-10-03,0.00257283
"HUF",2025-10-04,0.00269149
"HUF",2025-10-05,0.00271874
"HUF",2025-10-06,0.00251987
"HUF",2025-10-07,0.00259946
"HUF",2025-10-08,0.00245602
"HUF",2025-10-09,0.00262994
"HUF",2025-10-10,0.00256372
"HUF",2025-10-11,0.00250696
"HUF",2025-10-12,0.00279603
"HUF",2025-10-13,0.00260389
"HUF",2025-10-14,0.00249081
"HUF",2025-10-15,0.00249801
"HUF",2025-10-16,0.0026226
"HUF",2025-10-17,0.00254328
"HUF",2025-10-18,0.00247571
"HUF",2025-10-19,0.00247821
"HUF",2025-10-20,0.00256153
"HUF",2025-10-21,0.00265291
"HUF",2025-10-22,0.002466
"HUF",2025-10-23,0.00266018
"HUF",2025-10-24,0.00258801
"HUF",2025-10-25,0.00251407
"HUF",2025-10-26,0.00270386
"HUF",2025-10-27,0.00261207
"HUF",2025-10-28,0.00251039
"HUF",2025-10-29,0.00270958
"HUF",2025-10-30,0.00245565
"HUF",2025-10-31,0.00240654
"HUF",2025-11-01,0.00268111
"HUF",2025-11-02,0.00278226
"HUF",2025-11-03,0.00249602
"HUF",2025-11-04,0.00240271
"HUF",2025-11-05,0.00252698
"HUF",2025-11-06,0.00246564
"HUF",2025-11-07,0.00261295
"HUF",2025-11-08,0.00263595
"HUF",2025-11-09,0.00243337
"HUF",2025-11-10,0.00260355
"HUF",2025-11-11,0.00259328
"HUF",2025-11-12,0.00241853
"HUF",2025-11-13,0.00258255
"HUF",2025-11-14,0.002535
"HUF",2025-11-15,0.00246765
"HUF",2025-11-16,0.00278085
"HUF",2025-11-17,0.00270493
"HUF",2025-11-18,0.00246129
"HUF",2025-11-19,0.00277039
"HUF",2025-11-20,0.00266835
"HUF",2025-11-21,0.00254007
"HUF",2025-11-22,0.0027429
"HUF",2025-11-23,0.00272693
"HUF",2025-11-24,0.00240949
"HUF",2025-11-25,0.00247685
"HUF",2025-11-26,0.00269985
"HUF",2025-11-27,0.00278491
"HUF",2025-11-28,0.00240187
"HUF",2025-11-29,0.00262832
"HUF",2025-11-30,0.00257552
"HUF",2025-12-01,0.002606
"HUF",2025-12-02,0.00273713
"HUF",2025-12-03,0.0026122
"HUF",2025-12-04,0.00265974
"HUF",2025-12-05,0.00250967
"HUF",2025-12-06,0.00252301
"HUF",2025-12-07,0.00266954
"HUF",2025-12-08,0.00270377
"HUF",2025-12-09,0.00273396
"HUF",2025-12-10,0.00265597
"HUF",2025-12-11,0.00274683
"HUF",2025-12-12,0.00266899
"HUF",2025-12-13,0.00249674
"HUF",2025-12-14,0.00274407
"HUF",2025-12-15,0.00278792
"HUF",2025-12-16,0.00253365
"HUF",2025-12-17,0.00264103
"HUF",2025-12-18,0.00249294
"HUF",2025-12-19,0.00257536
"HUF",2025-12-20,0.00267425
"HUF",2025-12-21,0.00248043
"HUF",2025-12-22,0.00265046
"HUF",2025-12-23,0.00265248
"HUF",2025-12-24,0.00278258
"HUF",2025-12-25,0.00241604
"HUF",2025-12-26,0.00275796
"HUF",2025-12-27,0.00268212
"HUF",2025-12-28,0.00248093
"HUF",2025-12-29,0.00240458
"HUF",2025-12-30,0.0027553
"HUF",2025-12-31,0.00264117
"HUF",2026-01-01,0.00241896
"HUF",2026-01-02,0.00257308
"HUF",2026-01-03,0.00264557
"HUF",2026-01-04,0.00246329
"HUF",2026-01-05,0.00270296
"HUF",2026-01-06,0.00254154
"HUF",2026-01-07,0.00245208
"HUF",2026-01-08,0.00243877
"HUF",2026-01-09,0.00240161
"HUF",2026-01-10,0.00263681
"HUF",2026-01-11,0.00265176
"HUF",2026-01-12,0.00273028
"HUF",2026-01-13,0.00246713
"HUF",2026-01-14,0.00261243
"HUF",2026-01-15,0.00252799
"HUF",2026-01-16,0.00247655
"HUF",2026-01-17,0.00256796
"HUF",2026-01-18,0.00250243
"HUF",2026-01-19,0.00265221
"HUF",2026-01-20,0.0025741
"HUF",2026-01-21,0.00246533
"HUF",2026-01-22,0.00265233
"HUF",2026-01-23,0.0024808
"HUF",2026-01-24,0.0025581
"HUF",2026-01-25,0.00262204
"HUF",2026-01-26,0.00269509
"HUF",2026-01-27,0.00249432
"HUF",2026-01-28,0.00274067
"HUF",2026-01-29,0.00251426
"HUF",2026-01-30,0.0024783
"HUF",2026-01-31,0.0025107
"HUF",2026-02-01,0.00272272
"HUF",2026-02-02,0.00250704
"HUF",2026-02-03,0.00250154
"HUF",2026-02-04,0.00241012
"HUF",2026-02-05,0.00257195
"HUF",2026-02-06,0.00263828
"HUF",2026-02-07,0.00279616
"HUF",2026-02-08,0.00242668
"HUF",2026-02-09,0.00253526
"HUF",2026-02-10,0.00247784
"HUF",2026-02-11,0.0027447
"HUF",2026-02-12,0.00250564
"HUF",2026-02-13,0.00274138
"HUF",2026-02-14,0.00269286
"HUF",2026-02-15,0.00277845
"HUF",2026-02-16,0.00272902
"HUF",2026-02-17,0.00255054
"HUF",2026-02-18,0.00251846
"HUF",2026-02-19,0.00261017
"HUF",2026-02-20,0.00245622
"HUF",2026-02-21,0.00254626
"HUF",2026-02-22,0.00265691
"HUF",2026-02-23,0.0024361
"HUF",2026-02-24,0.00279927
"HUF",2026-02-25,0.002641
"HUF",2026-02-26,0.00246817
"HUF",2026-02-27,0.00273989
"HUF",2026-02-28,0.00240396
"HUF",2026-03-01,0.00241721
"HUF",2026-03-02,0.00261984
"HUF",2026-03-03,0.00256278
"HUF",2026-03-04,0.00276149
"HUF",2026-03-05,0.00250864
"HUF",2026-03-06,0.00273835
"HUF",2026-03-07,0.00266188
"HUF",2026-03-08,0.00250223
"HUF",2026-03-09,0.00270541
"HUF",2026-03-10,0.00260859
"HUF",2026-03-11,0.00255467
"HUF",2026-03-12,0.00261181
"HUF",2026-03-13,0.0026458
"HUF",2026-03-14,0.00244713
"HUF",2026-03-15,0.00275785
"HUF",2026-03-16,0.00251549
"HUF",2026-03-17,0.00275819
"HUF",2026-03-18,0.00263078
"HUF",2026-03-19,0.00240983
"HUF",2026-03-20,0.00270864
"HUF",2026-03-21,0.0027405
"HUF",2026-03-22,0.00250526
"HUF",2026-03-23,0.00255054
"HUF",2026-03-24,0.00248693
"HUF",2026-03-25,0.00277117
"HUF",2026-03-26,0.0025144
"HUF",2026-03-27,0.00250997
"HUF",2026-03-28,0.00256372
"HUF",2026-03-29,0.00257521
"HUF",2026-03-30,0.00244143
"HUF",2026-03-31,0.00241408
"HUF",2026-04-01,0.00258916
"HUF",2026-04-02,0.00245812
"HUF",2026-04-03,0.00255894
"HUF",2026-04-04,0.00278818
"HUF",2026-04-05,0.0026439
"HUF",2026-04-06,0.00241619
"HUF",2026-04-07,0.00260658
"HUF",2026-04-08,0.00260788
"HUF",2026-04-09,0.0026468
"HUF",2026-04-10,0.00250144
"HUF",2026-04-11,0.00253312
"HUF",2026-04-12,0.00254083
"HUF",2026-04-13,0.00279633
"HUF",2026-04-14,0.00256559
"HUF",2026-04-15,0.00256802
"HUF",2026-04-16,0.0025717
"HUF",2026-04-17,0.00250445
"HUF",2026-04-18,0.00248769
"HUF",2026-04-19,0.00244593
"HUF",2026-04-20,0.00270791
"HUF",2026-04-21,0.0025815
"HUF",2026-04-22,0.00257344
"HUF",2026-04-23,0.00249043
"HUF",2026-04-24,0.00249089
"HUF",2026-04-25,0.00278838
"HUF",2026-04-26,0.00273424
"HUF",2026-04-27,0.00267275
"HUF",2026-04-28,0.00252521
"HUF",2026-04-29,0.00268386
"HUF",2026-04-30,0.00277979
"HUF",2026-05-01,0.00267596
"HUF",2026-05-02,0.0026914
"HUF",2026-05-03,0.00276353
"HUF",2026-05-04,0.00276753
"HUF",2026-05-05,0.00254285
"HUF",2026-05-06,0.00245571
"HUF",2026-05-07,0.00266199
"HUF",2026-05-08,0.00265371
"HUF",2026-05-09,0.00256573
"HUF",2026-05-10,0.00276228
"HUF",2026-05-11,0.00245964
"HUF",2026-05-12,0.0027639
"HUF",2026-05-13,0.00255066
"HUF",2026-05-14,0.00270497
"HUF",2026-05-15,0.0025061
"HUF",2026-05-16,0.00267328
"HUF",2026-05-17,0.00272224
"HUF",2026-05-18,0.00259138
"HUF",2026-05-19,0.00245886
"HUF",2026-05-20,0.00256033
"HUF",2026-05-21,0.00241788
"HUF",2026-05-22,0.00274522
"HUF",2026-05-23,0.00274865
"HUF",2026-05-24,0.00253186
"HUF",2026-05-25,0.00250497
"HUF",2026-05-26,0.00257755
"HUF",2026-05-27,0.00279236
