"REPO_TRANSACTION_ID","REPO_TYPE","INSTRUMENT_ID","CUSTOMER_ID","START_DATE","MATURITY_DATE","NOMINAL_AMOUNT","START_CASH_AMOUNT","MATURITY_CASH_AMOUNT","CURRENCY","REPO_RATE","DAY_COUNT_BASIS","STATUS"
2323,"REVERSE_REPO",897,30,2025-07-08,2025-09-09,8172000,8062036.26,8097770.43,"GBP",0.025328,"ACT/360","MATURED"
2324,"REVERSE_REPO",883,3,2025-08-26,2025-10-17,419000,412841.69,415778.06,"GBP",0.049241,"ACT/360","MATURED"
2325,"REPO",903,31,2026-08-16,2026-11-06,7773000,7577124.56,7642380.86,"GBP",0.03781,"ACT/360","MATURED"
2326,"REVERSE_REPO",896,23,2024-09-25,2025-05-06,3916000,3847297.16,4022146.81,"EUR",0.073368,"ACT/360","MATURED"
2327,"REPO",902,26,2024-04-08,2024-07-02,6117000,5940786.63,6035784.92,"EUR",0.067726,"ACT/360","MATURED"
2328,"REPO",888,2,2024-06-25,2024-07-04,3784000,3744974.24,3751669.32,"GBP",0.07151,"ACT/360","MATURED"
2329,"REVERSE_REPO",903,22,2025-05-23,2025-08-06,6758000,6509619.39,6614475.8,"GBP",0.077318,"ACT/360","MATURED"
2330,"REPO",881,23,2024-07-29,2024-08-01,5064000,4892507.76,4894455.69,"EUR",0.048441,"ACT/365","MATURED"
2331,"REPO",902,24,2025-09-30,2025-11-22,9179000,8944792.96,9019125.13,"EUR",0.056446,"ACT/360","MATURED"
2332,"REPO",890,28,2024-08-16,2024-11-14,3517000,3398467.14,3444000.65,"EUR",0.053593,"ACT/360","MATURED"
2333,"REPO",883,24,2026-12-12,2027-01-26,1884000,1845083.41,1859921.9,"GBP",0.065231,"ACT/365","ACTIVE"
2334,"REVERSE_REPO",884,23,2026-06-19,2027-01-16,4632000,4560131.79,4764080.86,"USD",0.076307,"ACT/360","ACTIVE"
2335,"REPO",884,25,2026-11-20,2027-07-03,8050000,7765134.11,7995676.09,"USD",0.047503,"ACT/360","ACTIVE"
2336,"REPO",895,2,2025-02-19,2025-09-17,965000,942583.23,962904.22,"USD",0.036958,"ACT/360","MATURED"
2337,"REPO",897,31,2024-11-26,2025-01-26,2416000,2303626.34,2322463.88,"GBP",0.04893,"ACT/365","MATURED"
2338,"REVERSE_REPO",881,3,2025-03-21,2025-09-23,7276000,7191292.41,7445499.56,"EUR",0.068418,"ACT/360","MATURED"
2339,"REVERSE_REPO",902,27,2025-04-03,2025-04-09,4549000,4329814.77,4331183.61,"EUR",0.019232,"ACT/365","MATURED"
2340,"REPO",891,28,2026-07-07,2026-10-05,5548000,5308159.9,5357249.76,"GBP",0.036992,"ACT/360","MATURED"
2341,"REPO",898,29,2025-10-08,2025-11-10,6818000,6565280.43,6595174.5,"GBP",0.049673,"ACT/360","MATURED"
2342,"REVERSE_REPO",884,27,2026-02-05,2026-04-02,9975000,9549781.09,9664735.55,"USD",0.078458,"ACT/365","MATURED"
2343,"REVERSE_REPO",888,2,2025-06-27,2025-09-19,8152000,8033704.95,8057063.48,"GBP",0.012461,"ACT/360","MATURED"
2344,"REVERSE_REPO",885,22,2026-02-05,2026-02-15,7872000,7528168.8,7543745.63,"USD",0.074489,"ACT/360","MATURED"
2345,"REPO",890,23,2026-06-04,2026-08-21,3872000,3683952.02,3721731.93,"EUR",0.047332,"ACT/360","MATURED"
2346,"REPO",892,28,2025-12-30,2026-02-13,7350000,7069959.17,7124753.12,"GBP",0.062002,"ACT/360","MATURED"
2347,"REVERSE_REPO",888,23,2025-02-28,2025-03-28,9606000,9163134.08,9199883.13,"GBP",0.051564,"ACT/360","MATURED"
2348,"REPO",898,29,2024-06-26,2024-08-09,1560000,1495889.46,1501882.25,"GBP",0.033233,"ACT/365","MATURED"
2349,"REVERSE_REPO",898,22,2025-12-28,2026-01-30,891000,872519.18,875656.35,"GBP",0.039224,"ACT/360","MATURED"
2350,"REPO",909,25,2024-03-14,2024-05-14,3167000,3066549.02,3095028.31,"GBP",0.054809,"ACT/360","MATURED"
2351,"REPO",902,28,2024-12-24,2025-03-18,3920000,3860240.4,3898685.95,"EUR",0.042683,"ACT/360","MATURED"
2352,"REVERSE_REPO",891,26,2026-11-10,2026-11-11,6801000,6670113.23,6670489.59,"GBP",0.020313,"ACT/360","MATURED"
2353,"REPO",884,23,2025-11-14,2026-01-04,9538000,9305390.24,9342669.42,"USD",0.028279,"ACT/360","MATURED"
2354,"REPO",899,29,2025-11-20,2026-07-01,7555000,7433325.85,7543779.37,"EUR",0.023988,"ACT/360","MATURED"
2355,"REPO",892,24,2026-04-10,2026-06-05,3441000,3378802.75,3404143.62,"GBP",0.048214,"ACT/360","MATURED"
2356,"REPO",895,25,2026-06-01,2026-08-01,1992000,1924236.13,1948084.49,"USD",0.073143,"ACT/360","MATURED"
2357,"REVERSE_REPO",885,26,2024-11-30,2024-12-05,976000,950642.5,951336.26,"USD",0.052544,"ACT/360","MATURED"
2358,"REVERSE_REPO",884,24,2026-06-12,2026-08-17,302000,291824.85,294695.24,"USD",0.053651,"ACT/360","MATURED"
2359,"REVERSE_REPO",896,28,2025-07-16,2025-07-31,7287000,6943616.67,6948982.35,"EUR",0.018546,"ACT/360","MATURED"
2360,"REVERSE_REPO",881,22,2024-12-10,2025-03-09,4997000,4811192.9,4845533.06,"EUR",0.029272,"ACT/365","MATURED"
2361,"REPO",884,29,2024-07-26,2024-08-17,5069000,4956320,4967334.15,"USD",0.036364,"ACT/360","MATURED"
2362,"REPO",884,3,2024-08-27,2024-11-18,1041000,1024542.78,1028375.97,"USD",0.016453,"ACT/365","MATURED"
2363,"REPO",890,3,2025-05-07,2025-05-23,3529000,3453693.62,3456793.81,"EUR",0.020197,"ACT/360","MATURED"
2364,"REPO",888,26,2026-09-09,2026-11-04,9717000,9398580.5,9435525.32,"GBP",0.025621,"ACT/365","MATURED"
2365,"REPO",902,31,2024-01-21,2024-10-11,3453000,3333187.36,3434324.26,"EUR",0.041376,"ACT/360","MATURED"
2366,"REVERSE_REPO",903,2,2026-09-11,2026-11-08,710000,683941.58,685081.72,"GBP",0.010347,"ACT/360","MATURED"
2367,"REPO",888,24,2025-04-24,2025-04-26,8776000,8439423.35,8440546.82,"GBP",0.023962,"ACT/360","MATURED"
2368,"REVERSE_REPO",899,25,2024-05-13,2024-07-07,2342000,2266136.06,2285933.61,"EUR",0.057977,"ACT/365","MATURED"
2369,"REVERSE_REPO",890,26,2026-09-05,2026-09-30,6294000,6029794.39,6063268.12,"EUR",0.07994,"ACT/360","MATURED"
2370,"REPO",896,31,2025-02-06,2025-03-31,5781000,5564942.1,5595131.05,"EUR",0.036848,"ACT/360","MATURED"
2371,"REVERSE_REPO",883,22,2024-04-09,2024-06-05,568000,557236.28,558955.16,"GBP",0.019482,"ACT/360","MATURED"
2372,"REVERSE_REPO",902,29,2024-11-06,2025-07-02,246000,241621.71,249338.05,"EUR",0.048306,"ACT/360","MATURED"
2373,"REVERSE_REPO",888,3,2026-08-04,2026-09-18,2100000,2010323.24,2018163.17,"GBP",0.031632,"ACT/365","MATURED"
2374,"REVERSE_REPO",881,29,2026-09-03,2026-11-08,9716000,9415303.93,9482395.5,"EUR",0.038868,"ACT/360","MATURED"
2375,"REPO",881,24,2026-09-02,2026-09-16,1508000,1492281.86,1495401.4,"EUR",0.054501,"ACT/365","MATURED"
2376,"REVERSE_REPO",897,27,2026-02-17,2026-05-15,5631000,5483521.38,5585212.05,"GBP",0.076737,"ACT/360","MATURED"
2377,"REVERSE_REPO",891,28,2024-09-17,2025-04-14,9848000,9399496.46,9816618.72,"GBP",0.076439,"ACT/360","MATURED"
2378,"REPO",884,25,2026-11-29,2026-12-22,9658000,9425020.38,9463765.98,"USD",0.064345,"ACT/360","MATURED"
2379,"REPO",899,24,2026-09-14,2026-11-25,2687000,2647838.13,2659678.2,"EUR",0.022358,"ACT/360","MATURED"
2380,"REVERSE_REPO",890,27,2024-09-19,2024-10-14,5904000,5770573.92,5784231.75,"EUR",0.034082,"ACT/360","MATURED"
2381,"REVERSE_REPO",888,30,2025-12-27,2026-02-20,7505000,7357551.57,7398206.95,"GBP",0.036168,"ACT/360","MATURED"
2382,"REPO",888,25,2026-03-08,2026-03-29,2289000,2245260.65,2254340.54,"GBP",0.070289,"ACT/365","MATURED"
2383,"REPO",891,25,2024-03-25,2024-05-16,6863000,6660631.68,6694439.57,"GBP",0.03514,"ACT/360","MATURED"
2384,"REVERSE_REPO",898,23,2024-09-21,2024-11-17,171000,164986.24,165906.52,"GBP",0.035229,"ACT/360","MATURED"
2385,"REVERSE_REPO",895,27,2026-08-07,2026-09-30,1719000,1697622.17,1704747.34,"USD",0.027981,"ACT/360","MATURED"
2386,"REVERSE_REPO",900,24,2024-06-16,2024-08-15,1485000,1439120.71,1453472.82,"GBP",0.059837,"ACT/360","MATURED"
2387,"REVERSE_REPO",885,26,2026-10-18,2026-12-28,3379000,3298510.22,3311317.76,"USD",0.019961,"ACT/365","MATURED"
2388,"REVERSE_REPO",885,22,2025-06-11,2025-08-11,6142000,6047517.77,6104542.42,"USD",0.056422,"ACT/365","MATURED"
2389,"REPO",902,30,2026-01-19,2026-03-28,2221000,2118546.22,2124491.41,"EUR",0.015063,"ACT/365","MATURED"
2390,"REPO",903,23,2024-12-05,2025-03-07,1884000,1851598.77,1863346.57,"GBP",0.024827,"ACT/360","MATURED"
2391,"REVERSE_REPO",895,26,2025-11-06,2026-01-07,7992000,7844362.78,7859753.07,"USD",0.011392,"ACT/360","MATURED"
2392,"REPO",899,31,2026-07-27,2026-10-02,3612000,3434113.69,3464862.08,"EUR",0.04811,"ACT/360","MATURED"
2393,"REPO",890,22,2025-03-18,2025-10-21,6200000,6009654.85,6177107.91,"EUR",0.046226,"ACT/360","MATURED"
2394,"REVERSE_REPO",883,29,2025-03-01,2025-10-01,5536000,5267589.92,5469104.06,"GBP",0.064355,"ACT/360","MATURED"
2395,"REVERSE_REPO",883,25,2024-09-20,2024-10-27,6400000,6141130.8,6168583.62,"GBP",0.043495,"ACT/360","MATURED"
2396,"REVERSE_REPO",895,2,2026-12-03,2027-01-02,3400000,3289428.61,3299322.39,"USD",0.036093,"ACT/360","ACTIVE"
2397,"REPO",881,29,2024-08-25,2024-09-20,7541000,7278886.56,7312135.87,"EUR",0.063248,"ACT/360","MATURED"
2398,"REPO",883,28,2025-01-12,2025-08-07,844000,815877.04,827353.35,"GBP",0.024463,"ACT/360","MATURED"
2399,"REPO",884,28,2026-04-08,2026-05-06,3710000,3635306.77,3648311.39,"USD",0.045994,"ACT/360","MATURED"
2400,"REPO",883,25,2026-08-08,2027-03-24,4258000,4117556.14,4246831.89,"GBP",0.049573,"ACT/360","ACTIVE"
2401,"REVERSE_REPO",895,30,2024-01-12,2024-05-04,8701000,8335296.19,8506460.87,"USD",0.065421,"ACT/360","MATURED"
2402,"REPO",883,29,2024-09-02,2024-10-20,7101000,6850699.94,6893673.92,"GBP",0.047047,"ACT/360","MATURED"
2403,"REVERSE_REPO",881,25,2025-08-18,2025-11-02,6215000,6115411.21,6158273.31,"EUR",0.033661,"ACT/365","MATURED"
2404,"REVERSE_REPO",881,29,2025-12-17,2025-12-27,6856000,6698867.7,6706303.82,"EUR",0.039962,"ACT/360","MATURED"
2405,"REPO",890,23,2025-07-22,2025-08-11,5886000,5750775.71,5774109.8,"EUR",0.073036,"ACT/360","MATURED"
2406,"REPO",881,3,2026-11-08,2026-12-31,6033000,5750998.93,5805378.32,"EUR",0.064227,"ACT/360","MATURED"
2407,"REPO",891,26,2026-10-19,2027-04-14,8265000,8145335.43,8378466.27,"GBP",0.058213,"ACT/360","ACTIVE"
2408,"REVERSE_REPO",895,24,2025-05-25,2025-07-16,914000,886553.69,890948.25,"USD",0.034317,"ACT/360","MATURED"
2409,"REVERSE_REPO",892,3,2025-10-22,2026-02-18,4290000,4097197.95,4177898.34,"GBP",0.059586,"ACT/360","MATURED"
2410,"REPO",892,27,2025-11-12,2026-03-29,4031000,3898116.15,3936559.75,"GBP",0.025915,"ACT/360","MATURED"
2411,"REVERSE_REPO",892,31,2026-07-06,2026-07-12,3902000,3847177.18,3850391.88,"GBP",0.050136,"ACT/360","MATURED"
2412,"REPO",898,27,2026-10-20,2027-07-10,230000,224967.64,236811.8,"GBP",0.073067,"ACT/365","ACTIVE"
2413,"REVERSE_REPO",888,26,2026-08-13,2027-04-21,9074000,8692294.49,9159828.74,"GBP",0.077145,"ACT/360","ACTIVE"
2414,"REVERSE_REPO",902,3,2025-11-15,2026-07-16,3078000,3011624.84,3129741.37,"EUR",0.058104,"ACT/360","MATURED"
2415,"REPO",885,31,2025-02-27,2025-05-21,7812000,7619773.71,7682508.37,"USD",0.03571,"ACT/360","MATURED"
2416,"REPO",891,23,2026-08-28,2026-09-13,6246000,6053010.88,6056544.76,"GBP",0.013136,"ACT/360","MATURED"
2417,"REPO",892,29,2025-12-30,2026-02-17,6890000,6786429.89,6812799,"GBP",0.028547,"ACT/360","MATURED"
2418,"REVERSE_REPO",899,23,2026-10-15,2026-12-21,7639000,7304083.04,7366283.78,"EUR",0.045757,"ACT/360","MATURED"
2419,"REPO",891,31,2026-01-22,2026-01-23,5731000,5487251.68,5487782.78,"GBP",0.034844,"ACT/360","MATURED"
2420,"REPO",898,25,2025-01-23,2025-04-19,6014000,5911114.87,5972490.37,"GBP",0.043464,"ACT/360","MATURED"
2421,"REPO",903,31,2026-11-18,2027-04-11,8628000,8297415.79,8332298.13,"GBP",0.01051,"ACT/360","ACTIVE"
2422,"REPO",903,30,2026-07-01,2026-07-10,6196000,5960415.9,5966976.53,"GBP",0.044028,"ACT/360","MATURED"
2423,"REVERSE_REPO",895,27,2025-04-02,2025-05-06,6410000,6331032.16,6347255.91,"USD",0.02751,"ACT/365","MATURED"
2424,"REPO",884,3,2025-12-29,2026-09-19,8425000,8271057.28,8563830.1,"USD",0.048269,"ACT/360","MATURED"
2425,"REVERSE_REPO",896,26,2024-03-15,2024-10-14,4718000,4533425.53,4614352.5,"EUR",0.030171,"ACT/360","MATURED"
2426,"REPO",891,27,2025-05-03,2025-05-25,8268000,8088851.42,8125370.2,"GBP",0.073877,"ACT/360","MATURED"
2427,"REVERSE_REPO",881,26,2026-02-14,2026-03-16,1998000,1920102.55,1924009.14,"EUR",0.024754,"ACT/365","MATURED"
2428,"REVERSE_REPO",892,23,2025-05-20,2025-06-01,7054000,6980078.19,6988834.7,"GBP",0.037635,"ACT/360","MATURED"
2429,"REPO",903,27,2024-12-24,2025-07-16,2859000,2774068.49,2820831.26,"GBP",0.030161,"ACT/365","MATURED"
2430,"REPO",900,29,2024-10-14,2024-12-29,5835000,5583651.45,5603635.15,"GBP",0.016953,"ACT/360","MATURED"
2431,"REVERSE_REPO",896,3,2025-04-13,2025-04-28,2804000,2714318.5,2719414.86,"EUR",0.045062,"ACT/360","MATURED"
2432,"REPO",892,31,2025-06-15,2025-08-07,6753000,6435401.88,6454343.93,"GBP",0.019993,"ACT/360","MATURED"
2433,"REVERSE_REPO",892,25,2024-05-12,2024-07-19,1527000,1467740.99,1473415.46,"GBP",0.020752,"ACT/365","MATURED"
2434,"REPO",883,30,2025-07-27,2025-08-18,5282000,5031985.72,5036269.5,"GBP",0.014124,"ACT/365","MATURED"
2435,"REPO",883,28,2026-08-09,2026-09-01,3052000,2951775.97,2957247.97,"GBP",0.029419,"ACT/365","MATURED"
2436,"REVERSE_REPO",898,27,2025-09-26,2025-11-07,2743000,2617112.86,2626611.06,"GBP",0.031108,"ACT/360","MATURED"
2437,"REVERSE_REPO",891,24,2024-01-04,2024-02-19,1424000,1360009.7,1364968.83,"GBP",0.028537,"ACT/360","MATURED"
2438,"REVERSE_REPO",896,25,2026-04-03,2026-09-03,9571000,9293176.57,9377607.17,"EUR",0.021377,"ACT/360","MATURED"
2439,"REVERSE_REPO",903,23,2024-12-28,2025-01-21,1931000,1854729.16,1861373.67,"GBP",0.053737,"ACT/360","MATURED"
2440,"REVERSE_REPO",892,26,2026-12-10,2027-02-08,691000,683522.5,692226.34,"GBP",0.077464,"ACT/365","ACTIVE"
2441,"REPO",902,3,2025-02-26,2025-03-27,8534000,8371267.1,8388532.54,"EUR",0.025603,"ACT/360","MATURED"
2442,"REPO",895,26,2024-04-05,2024-05-21,1761000,1675884.34,1688596.07,"USD",0.060186,"ACT/365","MATURED"
2443,"REPO",895,22,2024-02-17,2024-02-21,172000,168800.06,168842.28,"USD",0.022513,"ACT/360","MATURED"
2444,"REPO",897,30,2025-10-01,2025-12-06,1540000,1521779.03,1538946.02,"GBP",0.061532,"ACT/360","MATURED"
2445,"REPO",888,3,2026-07-19,2026-08-20,2124000,2068442.1,2078530.03,"GBP",0.054867,"ACT/360","MATURED"
2446,"REPO",883,27,2025-08-25,2025-11-23,5730000,5614756.49,5701587.3,"GBP",0.061859,"ACT/360","MATURED"
2447,"REPO",903,27,2024-01-16,2024-06-19,6682000,6450929.51,6539425.69,"GBP",0.031862,"ACT/360","MATURED"
2448,"REVERSE_REPO",884,29,2024-05-06,2024-07-14,3663000,3555274.9,3605391.86,"USD",0.073547,"ACT/360","MATURED"
2449,"REPO",885,22,2026-10-20,2026-12-08,9966000,9585315.02,9685787.49,"USD",0.07701,"ACT/360","MATURED"
2450,"REPO",903,26,2026-07-28,2026-08-03,8967000,8527655.56,8529977.21,"GBP",0.016335,"ACT/360","MATURED"
2451,"REPO",884,2,2026-07-28,2026-09-24,7802000,7720600.36,7755528.36,"USD",0.02808,"ACT/360","MATURED"
2452,"REPO",895,25,2026-06-14,2026-08-20,7430000,7189847.64,7205718.97,"USD",0.011861,"ACT/360","MATURED"
2453,"REPO",885,24,2024-10-07,2025-01-31,5646000,5497435.33,5633072.88,"USD",0.076571,"ACT/360","MATURED"
2454,"REPO",902,28,2024-03-03,2024-06-09,2745000,2654019.82,2705544.43,"EUR",0.071316,"ACT/360","MATURED"
2455,"REVERSE_REPO",884,31,2025-01-29,2025-05-30,296000,289146.78,294988.31,"USD",0.060107,"ACT/360","MATURED"
2456,"REPO",884,27,2026-07-06,2026-09-12,4890000,4723402.37,4740981.35,"USD",0.019703,"ACT/360","MATURED"
2457,"REPO",888,31,2026-09-17,2026-12-12,7195000,7063765.9,7122092.79,"GBP",0.034565,"ACT/360","MATURED"
2458,"REVERSE_REPO",884,3,2024-12-13,2025-03-04,3064000,2992587.29,3011404.9,"USD",0.027947,"ACT/360","MATURED"
2459,"REPO",897,28,2025-12-23,2026-01-20,8008000,7691624.21,7734193.59,"GBP",0.071158,"ACT/360","MATURED"
2460,"REVERSE_REPO",897,23,2026-12-14,2027-01-23,8317000,7996878.14,8062100.68,"GBP",0.073404,"ACT/360","ACTIVE"
2461,"REVERSE_REPO",909,30,2024-06-10,2024-07-18,724000,714504.87,715395.73,"GBP",0.011812,"ACT/360","MATURED"
2462,"REPO",892,30,2025-05-02,2025-07-31,1997000,1908053.1,1938535.42,"GBP",0.06479,"ACT/365","MATURED"
2463,"REVERSE_REPO",884,24,2026-09-16,2027-04-22,9450000,9325167.98,9750843.14,"USD",0.075382,"ACT/360","ACTIVE"
2464,"REPO",897,25,2026-11-09,2027-04-19,1127000,1115355.02,1134669,"GBP",0.03872,"ACT/360","ACTIVE"
2465,"REPO",890,25,2024-10-14,2024-10-29,2875000,2746834.24,2751161.31,"EUR",0.037807,"ACT/360","MATURED"
2466,"REPO",881,31,2024-08-24,2024-10-02,1824000,1768008.81,1776721.36,"EUR",0.04612,"ACT/365","MATURED"
2467,"REPO",883,24,2025-11-22,2025-11-30,2751000,2696928.35,2697877.85,"GBP",0.015843,"ACT/360","MATURED"
2468,"REPO",895,24,2024-07-15,2024-08-30,9390000,9074715.76,9121633.35,"USD",0.040462,"ACT/360","MATURED"
2469,"REVERSE_REPO",903,29,2025-02-10,2025-10-07,6224000,6064828.44,6270173.42,"GBP",0.051,"ACT/360","MATURED"
2470,"REPO",897,29,2026-08-19,2026-09-12,4258000,4093518.77,4113530.89,"GBP",0.073331,"ACT/360","MATURED"
2471,"REPO",902,27,2026-06-30,2026-09-18,4759000,4657707.44,4703154.24,"EUR",0.043908,"ACT/360","MATURED"
2472,"REVERSE_REPO",902,28,2025-08-06,2025-09-28,6001000,5896095.17,5904789.42,"EUR",0.010016,"ACT/360","MATURED"
2473,"REVERSE_REPO",890,29,2024-04-16,2024-04-19,9097000,8919038.7,8923397.29,"EUR",0.058642,"ACT/360","MATURED"
2474,"REPO",898,2,2024-02-02,2024-04-16,1065000,1048360.37,1050924.78,"GBP",0.0119,"ACT/360","MATURED"
2475,"REVERSE_REPO",884,30,2024-05-20,2024-08-03,5520000,5342328.4,5371308.7,"USD",0.0264,"ACT/365","MATURED"
2476,"REVERSE_REPO",903,23,2025-06-16,2026-02-17,3461000,3379612.14,3487629.78,"GBP",0.046773,"ACT/360","MATURED"
2477,"REVERSE_REPO",885,29,2025-11-17,2026-01-08,9651000,9548642.65,9592544.13,"USD",0.03183,"ACT/360","MATURED"
2478,"REPO",903,25,2024-11-12,2024-11-18,3957000,3816082.95,3820142.47,"GBP",0.064714,"ACT/365","MATURED"
2479,"REPO",890,3,2025-06-16,2025-08-21,6600000,6465089.28,6539273.92,"EUR",0.062589,"ACT/360","MATURED"
2480,"REPO",884,31,2026-06-19,2026-08-15,9066000,8958943.94,9062702.92,"USD",0.073147,"ACT/360","MATURED"
2481,"REVERSE_REPO",896,25,2024-03-20,2024-12-10,9767000,9354162.64,9769528.91,"EUR",0.060323,"ACT/360","MATURED"
2482,"REPO",885,31,2025-08-09,2025-09-01,4532000,4410980.85,4421750.6,"USD",0.038216,"ACT/360","MATURED"
2483,"REVERSE_REPO",890,25,2025-04-20,2025-05-18,1691000,1644382.72,1646836.54,"EUR",0.019186,"ACT/360","MATURED"
2484,"REVERSE_REPO",888,22,2025-02-14,2025-05-07,7063000,6776774.12,6799083.75,"GBP",0.014453,"ACT/360","MATURED"
2485,"REVERSE_REPO",897,30,2025-07-12,2025-09-06,7775000,7443569.4,7505000.02,"GBP",0.053054,"ACT/360","MATURED"
2486,"REPO",902,26,2024-12-22,2025-01-23,3549000,3395789.25,3414680.4,"EUR",0.062585,"ACT/360","MATURED"
2487,"REVERSE_REPO",902,2,2026-05-28,2026-06-28,7660000,7388303.43,7424765.55,"EUR",0.057311,"ACT/360","MATURED"
2488,"REPO",883,2,2024-03-25,2024-04-12,3229000,3136454.67,3147385.84,"GBP",0.069704,"ACT/360","MATURED"
2489,"REPO",895,3,2025-07-07,2025-07-17,5596000,5482361.65,5487137.91,"USD",0.031799,"ACT/365","MATURED"
2490,"REVERSE_REPO",903,24,2025-11-09,2026-01-09,1003000,953080.34,962614.15,"GBP",0.059035,"ACT/360","MATURED"
2491,"REVERSE_REPO",888,31,2024-12-10,2025-02-05,7629000,7311459.07,7323217.3,"GBP",0.010157,"ACT/360","MATURED"
2492,"REPO",890,28,2025-09-08,2025-09-23,3424000,3340128.63,3345852.64,"EUR",0.041129,"ACT/360","MATURED"
2493,"REPO",890,24,2024-09-17,2025-05-26,9003000,8754767.63,8997504.21,"EUR",0.040319,"ACT/365","MATURED"
2494,"REVERSE_REPO",881,23,2024-07-08,2024-09-13,2069000,2040136.84,2053269.11,"EUR",0.035067,"ACT/365","MATURED"
2495,"REPO",902,27,2024-10-13,2024-11-09,6577000,6388231.3,6408147.73,"EUR",0.041569,"ACT/360","MATURED"
2496,"REPO",900,30,2024-07-19,2025-02-15,5819000,5587480.58,5838178.82,"GBP",0.077615,"ACT/365","MATURED"
2497,"REPO",888,30,2026-06-04,2026-07-03,5742000,5473670.29,5501659.22,"GBP",0.064358,"ACT/365","MATURED"
2498,"REVERSE_REPO",891,23,2024-01-13,2024-03-31,1336000,1294661.19,1302836.65,"GBP",0.029145,"ACT/360","MATURED"
2499,"REPO",892,2,2025-12-12,2026-02-15,6067000,5935425.48,6019302.19,"GBP",0.078267,"ACT/360","MATURED"
2500,"REVERSE_REPO",897,25,2026-03-13,2026-06-07,1846000,1759534.38,1788938.37,"GBP",0.069954,"ACT/360","MATURED"
2501,"REPO",898,31,2025-01-06,2025-03-17,5231000,5008210.39,5026520.13,"GBP",0.018802,"ACT/360","MATURED"
2502,"REPO",892,3,2026-01-24,2026-04-07,4196000,4040110.29,4068555.9,"GBP",0.035204,"ACT/365","MATURED"
2503,"REVERSE_REPO",890,22,2024-07-17,2024-10-06,4202000,4149448.5,4206614.41,"EUR",0.06123,"ACT/360","MATURED"
2504,"REVERSE_REPO",903,31,2024-12-09,2024-12-31,6456000,6172455.13,6190894.84,"GBP",0.049564,"ACT/365","MATURED"
2505,"REPO",895,25,2026-07-31,2026-09-02,5322000,5134685.16,5159375.12,"USD",0.052456,"ACT/360","MATURED"
2506,"REVERSE_REPO",895,2,2026-06-14,2026-09-09,6335000,6238887.28,6299074.4,"USD",0.039919,"ACT/360","MATURED"
2507,"REPO",899,23,2025-01-27,2025-04-03,5985000,5844049.19,5876962.88,"EUR",0.03072,"ACT/360","MATURED"
2508,"REPO",883,2,2024-04-20,2024-11-27,1700000,1657451.05,1735222.96,"GBP",0.076435,"ACT/360","MATURED"
2509,"REVERSE_REPO",899,31,2026-03-10,2026-04-20,3922000,3830872.5,3851705.97,"EUR",0.047751,"ACT/360","MATURED"
