"COUPON_ID","INSTRUMENT_ID","PERIOD_START_DATE","PERIOD_END_DATE","PAYMENT_DATE","COUPON_TYPE","COUPON_RATE","DAY_COUNT_BASIS","DAYS_IN_PERIOD","COUPON_NUMBER","COUPON_AMOUNT","REFERENCE_RATE_NAME","REFERENCE_RATE","SPREAD_RATE"
9079,894,2023-08-02,2024-08-02,2024-08-02,"FLOATING",0.043024,"30/360",366,3,43.14,"BUBOR",0.029473,0.013551
9080,894,2024-08-02,2025-08-02,2025-08-02,"FLOATING",0.030092,"30/360",365,4,30.09,"BUBOR",0.018318,0.011774
9081,894,2025-08-02,2026-08-02,2026-08-02,"FLOATING",0.060513,"30/360",365,5,60.51,"BUBOR",0.053557,0.006956
9082,894,2026-08-02,2027-08-02,2027-08-02,"FLOATING",0.056703,"30/360",365,6,56.7,"BUBOR",0.05217,0.004533
9083,894,2027-08-02,2028-04-23,2028-04-23,"FLOATING",0.02317,"30/360",265,7,16.82,"BUBOR",0.018632,0.004538
9084,895,2022-02-25,2022-05-25,2022-05-25,"FIXED",0.02813,"ACT/365",89,1,6.86,"",,
9085,895,2022-05-25,2022-08-25,2022-08-25,"FIXED",0.065054,"ACT/365",92,2,16.4,"",,
9086,895,2022-08-25,2022-11-25,2022-11-25,"FIXED",0.061127,"ACT/365",92,3,15.41,"",,
9087,895,2022-11-25,2023-02-25,2023-02-25,"FIXED",0.078407,"ACT/365",92,4,19.76,"",,
9088,895,2023-02-25,2023-05-25,2023-05-25,"FIXED",0.053076,"ACT/365",89,5,12.94,"",,
9089,895,2023-05-25,2023-08-25,2023-08-25,"FIXED",0.023684,"ACT/365",92,6,5.97,"",,
9090,895,2023-08-25,2023-11-25,2023-11-25,"FIXED",0.08167,"ACT/365",92,7,20.59,"",,
9091,895,2023-11-25,2024-02-25,2024-02-25,"FIXED",0.059003,"ACT/365",92,8,14.87,"",,
9092,895,2024-02-25,2024-05-25,2024-05-25,"FIXED",0.039805,"ACT/365",90,9,9.81,"",,
9093,895,2024-05-25,2024-08-25,2024-08-25,"FIXED",0.017872,"ACT/365",92,10,4.5,"",,
9094,895,2024-08-25,2024-11-25,2024-11-25,"FIXED",0.027541,"ACT/365",92,11,6.94,"",,
9095,895,2024-11-25,2025-02-25,2025-02-25,"FIXED",0.061212,"ACT/365",92,12,15.43,"",,
9096,895,2025-02-25,2025-05-25,2025-05-25,"FIXED",0.070338,"ACT/365",89,13,17.15,"",,
9097,895,2025-05-25,2025-08-25,2025-08-25,"FIXED",0.082246,"ACT/365",92,14,20.73,"",,
9098,895,2025-08-25,2025-11-25,2025-11-25,"FIXED",0.042991,"ACT/365",92,15,10.84,"",,
9099,895,2025-11-25,2026-02-25,2026-02-25,"FIXED",0.019596,"ACT/365",92,16,4.94,"",,
9100,895,2026-02-25,2026-05-25,2026-05-25,"FIXED",0.070713,"ACT/365",89,17,17.24,"",,
9184,899,2023-06-04,2023-09-04,2023-09-04,"FLOATING",0.055893,"ACT/365",92,5,14.09,"EURIBOR",0.048251,0.007642
9185,899,2023-09-04,2023-12-04,2023-12-04,"FLOATING",0.025608,"ACT/365",91,6,6.38,"EURIBOR",0.015746,0.009862
9186,899,2023-12-04,2024-03-04,2024-03-04,"FLOATING",0.031013,"ACT/365",91,7,7.73,"EURIBOR",0.011231,0.019782
9187,899,2024-03-04,2024-06-04,2024-06-04,"FLOATING",0.058325,"ACT/365",92,8,14.7,"EURIBOR",0.051207,0.007118
9188,899,2024-06-04,2024-09-04,2024-09-04,"FLOATING",0.052303,"ACT/365",92,9,13.18,"EURIBOR",0.042953,0.00935
9189,899,2024-09-04,2024-12-04,2024-12-04,"FLOATING",0.031857,"ACT/365",91,10,7.94,"EURIBOR",0.014937,0.01692
9190,899,2024-12-04,2025-03-04,2025-03-04,"FLOATING",0.040703,"ACT/365",90,11,10.04,"EURIBOR",0.027079,0.013624
9191,899,2025-03-04,2025-06-04,2025-06-04,"FLOATING",0.051388,"ACT/365",92,12,12.95,"EURIBOR",0.047025,0.004363
9192,899,2025-06-04,2025-09-04,2025-09-04,"FLOATING",0.02128,"ACT/365",92,13,5.36,"EURIBOR",0.017649,0.003631
9101,895,2026-05-25,2026-08-25,2026-08-25,"FIXED",0.044425,"ACT/365",92,18,11.2,"",,
9102,895,2026-08-25,2026-11-25,2026-11-25,"FIXED",0.022164,"ACT/365",92,19,5.59,"",,
9103,895,2026-11-25,2027-02-25,2027-02-25,"FIXED",0.047461,"ACT/365",92,20,11.96,"",,
9104,895,2027-02-25,2027-05-25,2027-05-25,"FIXED",0.078154,"ACT/365",89,21,19.06,"",,
9105,895,2027-05-25,2027-08-25,2027-08-25,"FIXED",0.015036,"ACT/365",92,22,3.79,"",,
9106,895,2027-08-25,2027-11-25,2027-11-25,"FIXED",0.060209,"ACT/365",92,23,15.18,"",,
9107,895,2027-11-25,2028-02-25,2028-02-25,"FIXED",0.017379,"ACT/365",92,24,4.38,"",,
9108,895,2028-02-25,2028-05-25,2028-05-25,"FIXED",0.018569,"ACT/365",90,25,4.58,"",,
9109,895,2028-05-25,2028-08-25,2028-08-25,"FIXED",0.052265,"ACT/365",92,26,13.17,"",,
9110,895,2028-08-25,2028-11-25,2028-11-25,"FIXED",0.082039,"ACT/365",92,27,20.68,"",,
9111,895,2028-11-25,2029-02-25,2029-02-25,"FIXED",0.06339,"ACT/365",92,28,15.98,"",,
9112,895,2029-02-25,2029-05-25,2029-05-25,"FIXED",0.076306,"ACT/365",89,29,18.61,"",,
9113,895,2029-05-25,2029-08-25,2029-08-25,"FIXED",0.052298,"ACT/365",92,30,13.18,"",,
9114,895,2029-08-25,2029-11-25,2029-11-25,"FIXED",0.080118,"ACT/365",92,31,20.19,"",,
9115,895,2029-11-25,2030-02-25,2030-02-25,"FIXED",0.016699,"ACT/365",92,32,4.21,"",,
9116,895,2030-02-25,2030-05-25,2030-05-25,"FIXED",0.07389,"ACT/365",89,33,18.02,"",,
9117,895,2030-05-25,2030-08-25,2030-08-25,"FIXED",0.017611,"ACT/365",92,34,4.44,"",,
9118,895,2030-08-25,2030-11-25,2030-11-25,"FIXED",0.037122,"ACT/365",92,35,9.36,"",,
9119,895,2030-11-25,2031-02-25,2031-02-25,"FIXED",0.016043,"ACT/365",92,36,4.04,"",,
9120,895,2031-02-25,2031-05-25,2031-05-25,"FIXED",0.028352,"ACT/365",89,37,6.91,"",,
9121,895,2031-05-25,2031-06-28,2031-06-28,"FIXED",0.033767,"ACT/365",34,38,3.15,"",,
9122,896,2021-09-17,2022-09-17,2022-09-17,"FLOATING",0.030396,"ACT/365",365,1,30.4,"EURIBOR",0.023343,0.007053
9123,896,2022-09-17,2023-09-17,2023-09-17,"FLOATING",0.051574,"ACT/365",365,2,51.57,"EURIBOR",0.038284,0.01329
9124,896,2023-09-17,2024-09-17,2024-09-17,"FLOATING",0.041909,"ACT/365",366,3,42.02,"EURIBOR",0.039546,0.002363
9125,896,2024-09-17,2025-09-17,2025-09-17,"FLOATING",0.057702,"ACT/365",365,4,57.7,"EURIBOR",0.040715,0.016987
9126,896,2025-09-17,2026-09-17,2026-09-17,"FLOATING",0.061486,"ACT/365",365,5,61.49,"EURIBOR",0.041833,0.019653
9127,896,2026-09-17,2027-09-17,2027-09-17,"FLOATING",0.056616,"ACT/365",365,6,56.62,"EURIBOR",0.053351,0.003265
9128,896,2027-09-17,2028-04-08,2028-04-08,"FLOATING",0.060366,"ACT/365",204,7,33.74,"EURIBOR",0.043258,0.017108
9129,897,2022-01-14,2022-07-14,2022-07-14,"FIXED",0.024889,"30/360",181,1,12.34,"",,
9130,897,2022-07-14,2023-01-14,2023-01-14,"FIXED",0.073636,"30/360",184,2,37.12,"",,
9131,897,2023-01-14,2023-07-14,2023-07-14,"FIXED",0.027247,"30/360",181,3,13.51,"",,
9132,897,2023-07-14,2024-01-14,2024-01-14,"FIXED",0.031699,"30/360",184,4,15.98,"",,
9133,897,2024-01-14,2024-07-14,2024-07-14,"FIXED",0.032319,"30/360",182,5,16.12,"",,
9134,897,2024-07-14,2025-01-14,2025-01-14,"FIXED",0.058166,"30/360",184,6,29.32,"",,
9135,897,2025-01-14,2025-07-14,2025-07-14,"FIXED",0.056797,"30/360",181,7,28.17,"",,
9136,897,2025-07-14,2026-01-14,2026-01-14,"FIXED",0.044381,"30/360",184,8,22.37,"",,
9137,897,2026-01-14,2026-07-14,2026-07-14,"FIXED",0.060981,"30/360",181,9,30.24,"",,
9138,897,2026-07-14,2027-01-14,2027-01-14,"FIXED",0.076788,"30/360",184,10,38.71,"",,
9139,897,2027-01-14,2027-07-14,2027-07-14,"FIXED",0.060702,"30/360",181,11,30.1,"",,
9140,897,2027-07-14,2028-01-14,2028-01-14,"FIXED",0.028695,"30/360",184,12,14.47,"",,
9141,897,2028-01-14,2028-05-28,2028-05-28,"FIXED",0.020483,"30/360",135,13,7.58,"",,
9142,898,2020-01-07,2020-04-07,2020-04-07,"FIXED",0.049663,"ACT/360",91,1,12.38,"",,
9143,898,2020-04-07,2020-07-07,2020-07-07,"FIXED",0.062255,"ACT/360",91,2,15.52,"",,
9144,898,2020-07-07,2020-10-07,2020-10-07,"FIXED",0.08369,"ACT/360",92,3,21.09,"",,
9145,898,2020-10-07,2021-01-07,2021-01-07,"FIXED",0.031013,"ACT/360",92,4,7.82,"",,
9146,898,2021-01-07,2021-04-07,2021-04-07,"FIXED",0.063746,"ACT/360",90,5,15.72,"",,
9147,898,2021-04-07,2021-07-07,2021-07-07,"FIXED",0.039248,"ACT/360",91,6,9.79,"",,
9148,898,2021-07-07,2021-10-07,2021-10-07,"FIXED",0.04471,"ACT/360",92,7,11.27,"",,
9149,898,2021-10-07,2022-01-07,2022-01-07,"FIXED",0.01833,"ACT/360",92,8,4.62,"",,
9150,898,2022-01-07,2022-04-07,2022-04-07,"FIXED",0.068125,"ACT/360",90,9,16.8,"",,
9151,898,2022-04-07,2022-07-07,2022-07-07,"FIXED",0.048874,"ACT/360",91,10,12.19,"",,
9152,898,2022-07-07,2022-10-07,2022-10-07,"FIXED",0.055932,"ACT/360",92,11,14.1,"",,
9153,898,2022-10-07,2023-01-07,2023-01-07,"FIXED",0.073319,"ACT/360",92,12,18.48,"",,
9154,898,2023-01-07,2023-04-07,2023-04-07,"FIXED",0.039727,"ACT/360",90,13,9.8,"",,
9155,898,2023-04-07,2023-07-07,2023-07-07,"FIXED",0.01603,"ACT/360",91,14,4,"",,
9156,898,2023-07-07,2023-10-07,2023-10-07,"FIXED",0.016003,"ACT/360",92,15,4.03,"",,
9157,898,2023-10-07,2024-01-07,2024-01-07,"FIXED",0.057183,"ACT/360",92,16,14.41,"",,
9158,898,2024-01-07,2024-04-07,2024-04-07,"FIXED",0.063773,"ACT/360",91,17,15.9,"",,
9159,898,2024-04-07,2024-07-07,2024-07-07,"FIXED",0.052142,"ACT/360",91,18,13,"",,
9160,898,2024-07-07,2024-10-07,2024-10-07,"FIXED",0.016194,"ACT/360",92,19,4.08,"",,
9161,898,2024-10-07,2025-01-07,2025-01-07,"FIXED",0.040934,"ACT/360",92,20,10.32,"",,
9162,898,2025-01-07,2025-04-07,2025-04-07,"FIXED",0.022365,"ACT/360",90,21,5.51,"",,
9163,898,2025-04-07,2025-07-07,2025-07-07,"FIXED",0.033398,"ACT/360",91,22,8.33,"",,
9164,898,2025-07-07,2025-10-07,2025-10-07,"FIXED",0.021209,"ACT/360",92,23,5.35,"",,
9165,898,2025-10-07,2026-01-07,2026-01-07,"FIXED",0.060777,"ACT/360",92,24,15.32,"",,
9166,898,2026-01-07,2026-04-07,2026-04-07,"FIXED",0.078919,"ACT/360",90,25,19.46,"",,
9167,898,2026-04-07,2026-07-07,2026-07-07,"FIXED",0.045424,"ACT/360",91,26,11.32,"",,
9168,898,2026-07-07,2026-10-07,2026-10-07,"FIXED",0.074333,"ACT/360",92,27,18.74,"",,
9169,898,2026-10-07,2027-01-07,2027-01-07,"FIXED",0.025555,"ACT/360",92,28,6.44,"",,
9170,898,2027-01-07,2027-04-07,2027-04-07,"FIXED",0.081457,"ACT/360",90,29,20.09,"",,
9171,898,2027-04-07,2027-07-07,2027-07-07,"FIXED",0.048347,"ACT/360",91,30,12.05,"",,
9172,898,2027-07-07,2027-10-07,2027-10-07,"FIXED",0.064479,"ACT/360",92,31,16.25,"",,
9173,898,2027-10-07,2028-01-07,2028-01-07,"FIXED",0.023569,"ACT/360",92,32,5.94,"",,
9174,898,2028-01-07,2028-04-07,2028-04-07,"FIXED",0.038216,"ACT/360",91,33,9.53,"",,
9175,898,2028-04-07,2028-07-07,2028-07-07,"FIXED",0.015104,"ACT/360",91,34,3.77,"",,
9176,898,2028-07-07,2028-10-07,2028-10-07,"FIXED",0.078791,"ACT/360",92,35,19.86,"",,
9177,898,2028-10-07,2029-01-07,2029-01-07,"FIXED",0.052029,"ACT/360",92,36,13.11,"",,
9178,898,2029-01-07,2029-04-07,2029-04-07,"FIXED",0.018766,"ACT/360",90,37,4.63,"",,
9179,898,2029-04-07,2029-06-04,2029-06-04,"FIXED",0.043361,"ACT/360",58,38,6.89,"",,
9180,899,2022-06-04,2022-09-04,2022-09-04,"FLOATING",0.027416,"ACT/365",92,1,6.91,"EURIBOR",0.010491,0.016925
9181,899,2022-09-04,2022-12-04,2022-12-04,"FLOATING",0.029667,"ACT/365",91,2,7.4,"EURIBOR",0.020034,0.009633
9182,899,2022-12-04,2023-03-04,2023-03-04,"FLOATING",0.059284,"ACT/365",90,3,14.62,"EURIBOR",0.053848,0.005436
9183,899,2023-03-04,2023-06-04,2023-06-04,"FLOATING",0.025088,"ACT/365",92,4,6.32,"EURIBOR",0.018536,0.006552
9193,899,2025-09-04,2025-12-04,2025-12-04,"FLOATING",0.042772,"ACT/365",91,14,10.66,"EURIBOR",0.031843,0.010929
9194,899,2025-12-04,2026-03-04,2026-03-04,"FLOATING",0.035622,"ACT/365",90,15,8.78,"EURIBOR",0.026295,0.009327
9195,899,2026-03-04,2026-06-04,2026-06-04,"FLOATING",0.03135,"ACT/365",92,16,7.9,"EURIBOR",0.028895,0.002455
9196,899,2026-06-04,2026-09-04,2026-09-04,"FLOATING",0.047987,"ACT/365",92,17,12.1,"EURIBOR",0.029432,0.018555
9197,899,2026-09-04,2026-12-04,2026-12-04,"FLOATING",0.072806,"ACT/365",91,18,18.15,"EURIBOR",0.05296,0.019846
9198,899,2026-12-04,2027-03-04,2027-03-04,"FLOATING",0.04257,"ACT/365",90,19,10.5,"EURIBOR",0.035262,0.007308
9199,899,2027-03-04,2027-06-04,2027-06-04,"FLOATING",0.052104,"ACT/365",92,20,13.13,"EURIBOR",0.033207,0.018897
9200,899,2027-06-04,2027-09-04,2027-09-04,"FLOATING",0.056267,"ACT/365",92,21,14.18,"EURIBOR",0.053532,0.002735
9201,899,2027-09-04,2027-12-04,2027-12-04,"FLOATING",0.066964,"ACT/365",91,22,16.7,"EURIBOR",0.049214,0.01775
9202,899,2027-12-04,2028-03-04,2028-03-04,"FLOATING",0.033813,"ACT/365",91,23,8.43,"EURIBOR",0.016241,0.017572
9203,899,2028-03-04,2028-06-04,2028-06-04,"FLOATING",0.054136,"ACT/365",92,24,13.65,"EURIBOR",0.044232,0.009904
9204,899,2028-06-04,2028-09-04,2028-09-04,"FLOATING",0.043828,"ACT/365",92,25,11.05,"EURIBOR",0.033883,0.009945
9205,899,2028-09-04,2028-12-04,2028-12-04,"FLOATING",0.054602,"ACT/365",91,26,13.61,"EURIBOR",0.047367,0.007235
9206,899,2028-12-04,2029-03-04,2029-03-04,"FLOATING",0.035642,"ACT/365",90,27,8.79,"EURIBOR",0.017864,0.017778
9207,899,2029-03-04,2029-06-04,2029-06-04,"FLOATING",0.039396,"ACT/365",92,28,9.93,"EURIBOR",0.03414,0.005256
9208,899,2029-06-04,2029-09-04,2029-09-04,"FLOATING",0.066141,"ACT/365",92,29,16.67,"EURIBOR",0.05139,0.014751
9209,899,2029-09-04,2029-12-04,2029-12-04,"FLOATING",0.059462,"ACT/365",91,30,14.82,"EURIBOR",0.051405,0.008057
9210,899,2029-12-04,2030-03-04,2030-03-04,"FLOATING",0.049879,"ACT/365",90,31,12.3,"EURIBOR",0.036907,0.012972
9211,899,2030-03-04,2030-06-04,2030-06-04,"FLOATING",0.029589,"ACT/365",92,32,7.46,"EURIBOR",0.022516,0.007073
9212,899,2030-06-04,2030-09-04,2030-09-04,"FLOATING",0.023974,"ACT/365",92,33,6.04,"EURIBOR",0.020492,0.003482
9213,899,2030-09-04,2030-12-04,2030-12-04,"FLOATING",0.041868,"ACT/365",91,34,10.44,"EURIBOR",0.029271,0.012597
9214,899,2030-12-04,2030-12-25,2030-12-25,"FLOATING",0.032492,"ACT/365",21,35,1.87,"EURIBOR",0.022726,0.009766
9215,900,2021-08-27,2021-11-27,2021-11-27,"FIXED",0.030614,"30/360",92,1,7.72,"",,
9216,900,2021-11-27,2022-02-27,2022-02-27,"FIXED",0.063977,"30/360",92,2,16.13,"",,
