"TRANSACTION_ID","CUSTOMER_ID","INSTRUMENT_ID","PORTFOLIO_TYPE","TRADE_DATE","SETTLEMENT_DATE","BUY_SELL","QUANTITY","PRICE","TRANSACTION_AMOUNT","CURRENCY","TRANSACTION_TYPE","COUPON_ID","ACCRUED_INTEREST_AMOUNT","PRINCIPAL_AMOUNT","COUPON_AMOUNT","ELIGIBLE_QUANTITY"
155998,3,888,"LIQUIDITY",2024-08-05,2024-08-05,"",1169000,0,28469.98,"GBP","COUPON_PAYMENT",8990,0,0,28469.98,1169000
155999,3,888,"LIQUIDITY",2026-08-05,2026-08-05,"",1353000,0,36374.09,"GBP","COUPON_PAYMENT",8994,0,0,36374.09,1353000
156000,1,881,"LIQUIDITY",2026-08-24,2026-08-24,"",109000,0,2825.84,"EUR","COUPON_PAYMENT",8883,0,0,2825.84,109000
156001,24,898,"TRADING",2025-07-07,2025-07-07,"",959000,0,8096.14,"GBP","COUPON_PAYMENT",9163,0,0,8096.14,959000
156002,3,900,"LIQUIDITY",2024-02-27,2024-02-27,"",211000,0,3406.41,"GBP","COUPON_PAYMENT",9224,0,0,3406.41,211000
156003,3,900,"LIQUIDITY",2025-02-25,2025-02-25,"",610000,0,7908.61,"GBP","COUPON_PAYMENT",9228,0,0,7908.61,610000
156004,25,904,"INVESTMENT",2025-08-02,2025-08-02,"",146000,0,3730.63,"HUF","COUPON_PAYMENT",9273,0,0,3730.63,146000
156005,2,896,"INVESTMENT",2025-09-17,2025-09-17,"",298000,0,17195.2,"EUR","COUPON_PAYMENT",9125,0,0,17195.2,298000
156006,30,893,"TRADING",2025-04-25,2025-04-25,"",861000,0,13110.03,"HUF","COUPON_PAYMENT",9074,0,0,13110.03,861000
156007,2,883,"LIQUIDITY",2024-10-31,2024-10-31,"",453000,0,6316.25,"GBP","COUPON_PAYMENT",8901,0,0,6316.25,453000
156008,2,883,"LIQUIDITY",2025-04-30,2025-04-30,"",453000,0,4205.89,"GBP","COUPON_PAYMENT",8903,0,0,4205.89,453000
156009,2,883,"LIQUIDITY",2025-07-31,2025-07-31,"",908000,0,13057.02,"GBP","COUPON_PAYMENT",8904,0,0,13057.02,908000
156010,2,883,"LIQUIDITY",2026-07-31,2026-07-31,"",408000,0,7933.36,"GBP","COUPON_PAYMENT",8908,0,0,7933.36,408000
156011,31,889,"TRADING",2025-07-06,2025-07-06,"",657000,0,8583.2,"HUF","COUPON_PAYMENT",9009,0,0,8583.2,657000
156012,27,900,"INVESTMENT",2024-11-27,2024-11-27,"",1000,0,17.66,"GBP","COUPON_PAYMENT",9227,0,0,17.66,1000
156013,29,899,"INVESTMENT",2026-12-04,2026-12-04,"",484000,0,8785.39,"EUR","COUPON_PAYMENT",9197,0,0,8785.39,484000
156014,28,894,"LIQUIDITY",2025-08-02,2025-08-02,"",532000,0,16008.94,"HUF","COUPON_PAYMENT",9080,0,0,16008.94,532000
156015,28,899,"TRADING",2026-09-04,2026-09-04,"",611000,0,7390.26,"EUR","COUPON_PAYMENT",9196,0,0,7390.26,611000
156016,23,888,"TRADING",2024-08-05,2024-08-05,"",426000,0,10374.86,"GBP","COUPON_PAYMENT",8990,0,0,10374.86,426000
156017,23,898,"TRADING",2026-01-07,2026-01-07,"",207000,0,3215.1,"GBP","COUPON_PAYMENT",9165,0,0,3215.1,207000
156018,23,898,"TRADING",2026-07-07,2026-07-07,"",255000,0,2927.96,"GBP","COUPON_PAYMENT",9167,0,0,2927.96,255000
156019,25,895,"LIQUIDITY",2026-02-25,2026-02-25,"",974000,0,4810.84,"USD","COUPON_PAYMENT",9099,0,0,4810.84,974000
156020,25,895,"LIQUIDITY",2026-08-25,2026-08-25,"",673000,0,7535.94,"USD","COUPON_PAYMENT",9101,0,0,7535.94,673000
156021,25,895,"LIQUIDITY",2026-11-25,2026-11-25,"",580000,0,3240.19,"USD","COUPON_PAYMENT",9102,0,0,3240.19,580000
156022,24,891,"TRADING",2026-09-15,2026-09-15,"",279000,0,7225.76,"GBP","COUPON_PAYMENT",9037,0,0,7225.76,279000
156023,22,904,"INVESTMENT",2025-08-02,2025-08-02,"",463000,0,11830.69,"HUF","COUPON_PAYMENT",9273,0,0,11830.69,463000
156024,1,899,"INVESTMENT",2026-03-04,2026-03-04,"",985000,0,8651.75,"EUR","COUPON_PAYMENT",9194,0,0,8651.75,985000
156025,26,900,"INVESTMENT",2024-11-27,2024-11-27,"",1113000,0,19660.59,"GBP","COUPON_PAYMENT",9227,0,0,19660.59,1113000
156026,31,886,"INVESTMENT",2026-10-16,2026-10-16,"",502000,0,13850.68,"HUF","COUPON_PAYMENT",8967,0,0,13850.68,502000
156027,30,884,"INVESTMENT",2026-03-08,2026-03-08,"",27000,0,457.82,"USD","COUPON_PAYMENT",8943,0,0,457.82,27000
156028,25,889,"LIQUIDITY",2025-07-06,2025-07-06,"",338000,0,4415.71,"HUF","COUPON_PAYMENT",9009,0,0,4415.71,338000
156029,30,896,"TRADING",2026-09-17,2026-09-17,"",208000,0,12789.09,"EUR","COUPON_PAYMENT",9126,0,0,12789.09,208000
156030,26,892,"LIQUIDITY",2026-08-11,2026-08-11,"",251000,0,3515.74,"GBP","COUPON_PAYMENT",9047,0,0,3515.74,251000
156031,21,890,"LIQUIDITY",2024-06-10,2024-06-10,"",3000,0,165.3,"EUR","COUPON_PAYMENT",9029,0,0,165.3,3000
156032,2,884,"INVESTMENT",2025-06-08,2025-06-08,"",72000,0,1187.73,"USD","COUPON_PAYMENT",8940,0,0,1187.73,72000
156033,27,898,"INVESTMENT",2026-01-07,2026-01-07,"",124000,0,1925.96,"GBP","COUPON_PAYMENT",9165,0,0,1925.96,124000
156034,21,899,"INVESTMENT",2025-03-04,2025-03-04,"",301000,0,3020.94,"EUR","COUPON_PAYMENT",9190,0,0,3020.94,301000
156035,1,884,"INVESTMENT",2026-12-08,2026-12-08,"",272000,0,2108.53,"USD","COUPON_PAYMENT",8946,0,0,2108.53,272000
156036,2,904,"TRADING",2026-08-02,2026-08-02,"",1523000,0,13390.42,"HUF","COUPON_PAYMENT",9275,0,0,13390.42,1523000
156037,26,892,"TRADING",2026-02-11,2026-02-11,"",316000,0,10963.89,"GBP","COUPON_PAYMENT",9046,0,0,10963.89,316000
156038,2,883,"TRADING",2026-01-31,2026-01-31,"",1093000,0,22281.28,"GBP","COUPON_PAYMENT",8906,0,0,22281.28,1093000
156039,27,884,"INVESTMENT",2026-09-08,2026-09-08,"",625000,0,8745.51,"USD","COUPON_PAYMENT",8945,0,0,8745.51,625000
156040,30,887,"LIQUIDITY",2024-07-03,2024-07-03,"",177000,0,866.51,"HUF","COUPON_PAYMENT",8977,0,0,866.51,177000
156041,30,887,"LIQUIDITY",2025-07-03,2025-07-03,"",177000,0,2165.66,"HUF","COUPON_PAYMENT",8981,0,0,2165.66,177000
156042,25,902,"TRADING",2025-05-31,2025-05-31,"",463000,0,8112.24,"EUR","COUPON_PAYMENT",9253,0,0,8112.24,463000
156043,27,895,"TRADING",2024-11-25,2024-11-25,"",146000,0,1013.51,"USD","COUPON_PAYMENT",9094,0,0,1013.51,146000
156044,24,904,"TRADING",2024-08-02,2024-08-02,"",424000,0,6304.94,"HUF","COUPON_PAYMENT",9271,0,0,6304.94,424000
156045,24,904,"TRADING",2025-08-02,2025-08-02,"",859000,0,21949.38,"HUF","COUPON_PAYMENT",9273,0,0,21949.38,859000
156046,26,895,"TRADING",2025-11-25,2025-11-25,"",183000,0,1983,"USD","COUPON_PAYMENT",9098,0,0,1983,183000
156047,23,902,"TRADING",2026-11-30,2026-11-30,"",584000,0,21231.61,"EUR","COUPON_PAYMENT",9256,0,0,21231.61,584000
156048,1,890,"TRADING",2026-06-10,2026-06-10,"",77000,0,1377.45,"EUR","COUPON_PAYMENT",9031,0,0,1377.45,77000
156049,28,899,"LIQUIDITY",2024-09-04,2024-09-04,"",291000,0,3836.32,"EUR","COUPON_PAYMENT",9188,0,0,3836.32,291000
156050,21,885,"LIQUIDITY",2025-02-06,2025-02-06,"",1647000,0,39964.14,"USD","COUPON_PAYMENT",8958,0,0,39964.14,1647000
156051,31,882,"LIQUIDITY",2024-05-14,2024-05-14,"",132000,0,1173.91,"HUF","COUPON_PAYMENT",8895,0,0,1173.91,132000
156052,2,894,"INVESTMENT",2026-08-02,2026-08-02,"",315000,0,19061.6,"HUF","COUPON_PAYMENT",9081,0,0,19061.6,315000
156053,23,904,"LIQUIDITY",2024-08-02,2024-08-02,"",297000,0,4416.43,"HUF","COUPON_PAYMENT",9271,0,0,4416.43,297000
156054,1,898,"INVESTMENT",2026-07-07,2026-07-07,"",426000,0,4891.41,"GBP","COUPON_PAYMENT",9167,0,0,4891.41,426000
156055,1,897,"INVESTMENT",2025-07-14,2025-07-14,"",241000,0,6787.79,"GBP","COUPON_PAYMENT",9135,0,0,6787.79,241000
156056,28,882,"INVESTMENT",2024-12-02,2024-12-02,"",226000,0,874.54,"HUF","COUPON_PAYMENT",8898,0,0,874.54,226000
156057,29,885,"LIQUIDITY",2024-08-06,2024-08-06,"",68000,0,1437.45,"USD","COUPON_PAYMENT",8957,0,0,1437.45,68000
156058,3,887,"TRADING",2026-01-03,2026-01-03,"",82000,0,954.95,"HUF","COUPON_PAYMENT",8983,0,0,954.95,82000
156059,1,893,"LIQUIDITY",2025-07-25,2025-07-25,"",144000,0,2866.62,"HUF","COUPON_PAYMENT",9075,0,0,2866.62,144000
156060,24,892,"LIQUIDITY",2025-08-11,2025-08-11,"",118000,0,3592.18,"GBP","COUPON_PAYMENT",9045,0,0,3592.18,118000
156061,29,898,"LIQUIDITY",2026-04-07,2026-04-07,"",1817000,0,35848.96,"GBP","COUPON_PAYMENT",9166,0,0,35848.96,1817000
156062,21,889,"INVESTMENT",2024-07-06,2024-07-06,"",80000,0,2388.52,"HUF","COUPON_PAYMENT",9007,0,0,2388.52,80000
156063,22,901,"TRADING",2026-01-26,2026-01-26,"",290000,0,5939.77,"HUF","COUPON_PAYMENT",9239,0,0,5939.77,290000
156064,26,889,"LIQUIDITY",2025-01-06,2025-01-06,"",828000,0,35402.43,"HUF","COUPON_PAYMENT",9008,0,0,35402.43,828000
156065,24,884,"TRADING",2025-12-08,2025-12-08,"",698000,0,11901.18,"USD","COUPON_PAYMENT",8942,0,0,11901.18,698000
156066,26,884,"LIQUIDITY",2026-09-08,2026-09-08,"",178000,0,2490.72,"USD","COUPON_PAYMENT",8945,0,0,2490.72,178000
156067,23,896,"LIQUIDITY",2025-09-17,2025-09-17,"",569000,0,32832.44,"EUR","COUPON_PAYMENT",9125,0,0,32832.44,569000
156068,23,896,"LIQUIDITY",2026-09-17,2026-09-17,"",1019000,0,62654.23,"EUR","COUPON_PAYMENT",9126,0,0,62654.23,1019000
156069,25,901,"INVESTMENT",2026-01-26,2026-01-26,"",401000,0,8213.27,"HUF","COUPON_PAYMENT",9239,0,0,8213.27,401000
156070,30,904,"LIQUIDITY",2026-02-02,2026-02-02,"",1548000,0,35053.06,"HUF","COUPON_PAYMENT",9274,0,0,35053.06,1548000
156071,30,891,"TRADING",2026-09-15,2026-09-15,"",25000,0,647.47,"GBP","COUPON_PAYMENT",9037,0,0,647.47,25000
156072,2,885,"LIQUIDITY",2026-08-06,2026-08-06,"",907000,0,25898.81,"USD","COUPON_PAYMENT",8961,0,0,25898.81,907000
156073,27,904,"INVESTMENT",2026-02-02,2026-02-02,"",1038000,0,23504.57,"HUF","COUPON_PAYMENT",9274,0,0,23504.57,1038000
156074,27,904,"INVESTMENT",2026-08-02,2026-08-02,"",691000,0,6075.37,"HUF","COUPON_PAYMENT",9275,0,0,6075.37,691000
156075,21,897,"TRADING",2026-07-14,2026-07-14,"",1034000,0,31268.05,"GBP","COUPON_PAYMENT",9137,0,0,31268.05,1034000
156076,25,883,"INVESTMENT",2026-07-31,2026-07-31,"",415000,0,8069.47,"GBP","COUPON_PAYMENT",8908,0,0,8069.47,415000
156077,28,904,"TRADING",2026-08-02,2026-08-02,"",859000,0,7552.45,"HUF","COUPON_PAYMENT",9275,0,0,7552.45,859000
156078,28,901,"INVESTMENT",2026-01-26,2026-01-26,"",389000,0,7967.49,"HUF","COUPON_PAYMENT",9239,0,0,7967.49,389000
156079,22,896,"LIQUIDITY",2025-09-17,2025-09-17,"",102000,0,5885.6,"EUR","COUPON_PAYMENT",9125,0,0,5885.6,102000
156080,27,898,"LIQUIDITY",2026-01-07,2026-01-07,"",1424000,0,22117.43,"GBP","COUPON_PAYMENT",9165,0,0,22117.43,1424000
156081,26,887,"TRADING",2025-07-03,2025-07-03,"",112000,0,1370.36,"HUF","COUPON_PAYMENT",8981,0,0,1370.36,112000
156082,26,887,"TRADING",2025-10-03,2025-10-03,"",112000,0,900,"HUF","COUPON_PAYMENT",8982,0,0,900,112000
156083,2,895,"INVESTMENT",2026-05-25,2026-05-25,"",56000,0,965.57,"USD","COUPON_PAYMENT",9100,0,0,965.57,56000
156084,21,899,"LIQUIDITY",2026-06-04,2026-06-04,"",318000,0,2512.81,"EUR","COUPON_PAYMENT",9195,0,0,2512.81,318000
156085,2,892,"LIQUIDITY",2026-08-11,2026-08-11,"",1163000,0,16290.05,"GBP","COUPON_PAYMENT",9047,0,0,16290.05,1163000
156086,2,898,"INVESTMENT",2026-04-07,2026-04-07,"",418000,0,8247.04,"GBP","COUPON_PAYMENT",9166,0,0,8247.04,418000
156087,3,890,"TRADING",2026-06-10,2026-06-10,"",212000,0,3792.47,"EUR","COUPON_PAYMENT",9031,0,0,3792.47,212000
156088,27,899,"TRADING",2026-03-04,2026-03-04,"",522000,0,4584.99,"EUR","COUPON_PAYMENT",9194,0,0,4584.99,522000
156089,26,898,"TRADING",2026-07-07,2026-07-07,"",1556000,0,17866.27,"GBP","COUPON_PAYMENT",9167,0,0,17866.27,1556000
156090,22,898,"LIQUIDITY",2026-07-07,2026-07-07,"",861000,0,9886.16,"GBP","COUPON_PAYMENT",9167,0,0,9886.16,861000
156091,27,900,"LIQUIDITY",2024-11-27,2024-11-27,"",406000,0,7171.79,"GBP","COUPON_PAYMENT",9227,0,0,7171.79,406000
156092,3,889,"INVESTMENT",2026-01-06,2026-01-06,"",364000,0,4721.72,"HUF","COUPON_PAYMENT",9010,0,0,4721.72,364000
156093,26,892,"INVESTMENT",2024-08-11,2024-08-11,"",106000,0,3722.83,"GBP","COUPON_PAYMENT",9043,0,0,3722.83,106000
156094,21,885,"TRADING",2025-08-06,2025-08-06,"",365000,0,7147.33,"USD","COUPON_PAYMENT",8959,0,0,7147.33,365000
156095,27,887,"INVESTMENT",2026-01-03,2026-01-03,"",561000,0,6533.23,"HUF","COUPON_PAYMENT",8983,0,0,6533.23,561000
156096,27,887,"INVESTMENT",2026-04-03,2026-04-03,"",561000,0,8502.93,"HUF","COUPON_PAYMENT",8984,0,0,8502.93,561000
156097,28,902,"LIQUIDITY",2025-11-30,2025-11-30,"",1325000,0,18004.44,"EUR","COUPON_PAYMENT",9254,0,0,18004.44,1325000
156098,21,888,"TRADING",2026-08-05,2026-08-05,"",215000,0,5780.07,"GBP","COUPON_PAYMENT",8994,0,0,5780.07,215000
156099,28,884,"INVESTMENT",2024-09-08,2024-09-08,"",216000,0,2689.58,"USD","COUPON_PAYMENT",8937,0,0,2689.58,216000
156100,28,884,"INVESTMENT",2026-12-08,2026-12-08,"",98000,0,759.69,"USD","COUPON_PAYMENT",8946,0,0,759.69,98000
156101,26,896,"LIQUIDITY",2025-09-17,2025-09-17,"",389000,0,22446.08,"EUR","COUPON_PAYMENT",9125,0,0,22446.08,389000
156102,30,893,"INVESTMENT",2024-01-25,2024-01-25,"",201000,0,2101.65,"HUF","COUPON_PAYMENT",9069,0,0,2101.65,201000
156103,30,893,"INVESTMENT",2025-04-25,2025-04-25,"",275000,0,4187.29,"HUF","COUPON_PAYMENT",9074,0,0,4187.29,275000
156104,1,901,"LIQUIDITY",2025-07-26,2025-07-26,"",791000,0,14075.47,"HUF","COUPON_PAYMENT",9238,0,0,14075.47,791000
156105,2,886,"LIQUIDITY",2024-10-16,2024-10-16,"",83000,0,1378.08,"HUF","COUPON_PAYMENT",8965,0,0,1378.08,83000
156106,27,884,"LIQUIDITY",2026-09-08,2026-09-08,"",422000,0,5904.97,"USD","COUPON_PAYMENT",8945,0,0,5904.97,422000
156107,26,899,"LIQUIDITY",2025-09-04,2025-09-04,"",782000,0,4194.43,"EUR","COUPON_PAYMENT",9192,0,0,4194.43,782000
156108,26,901,"TRADING",2026-01-26,2026-01-26,"",48000,0,983.13,"HUF","COUPON_PAYMENT",9239,0,0,983.13,48000
156109,29,896,"LIQUIDITY",2024-09-17,2024-09-17,"",487000,0,20465.6,"EUR","COUPON_PAYMENT",9124,0,0,20465.6,487000
156110,29,896,"LIQUIDITY",2026-09-17,2026-09-17,"",161000,0,9899.25,"EUR","COUPON_PAYMENT",9126,0,0,9899.25,161000
156111,21,881,"LIQUIDITY",2026-08-24,2026-08-24,"",850000,0,22036.37,"EUR","COUPON_PAYMENT",8883,0,0,22036.37,850000
156112,26,884,"TRADING",2024-12-08,2024-12-08,"",698000,0,13566.23,"USD","COUPON_PAYMENT",8938,0,0,13566.23,698000
156113,26,884,"TRADING",2025-03-08,2025-03-08,"",698000,0,2836.37,"USD","COUPON_PAYMENT",8939,0,0,2836.37,698000
156114,31,904,"LIQUIDITY",2025-08-02,2025-08-02,"",588000,0,15024.72,"HUF","COUPON_PAYMENT",9273,0,0,15024.72,588000
156115,23,889,"TRADING",2024-07-06,2024-07-06,"",1222000,0,36484.61,"HUF","COUPON_PAYMENT",9007,0,0,36484.61,1222000
156116,29,890,"TRADING",2026-06-10,2026-06-10,"",141000,0,2522.35,"EUR","COUPON_PAYMENT",9031,0,0,2522.35,141000
156117,3,887,"TRADING",2025-07-03,2025-07-03,"",334000,0,4086.62,"HUF","COUPON_PAYMENT",8981,0,0,4086.62,334000
156118,21,901,"LIQUIDITY",2025-07-26,2025-07-26,"",959000,0,17064.96,"HUF","COUPON_PAYMENT",9238,0,0,17064.96,959000
156119,24,883,"INVESTMENT",2025-04-30,2025-04-30,"",98000,0,909.88,"GBP","COUPON_PAYMENT",8903,0,0,909.88,98000
156120,31,902,"INVESTMENT",2024-11-30,2024-11-30,"",513000,0,14358.53,"EUR","COUPON_PAYMENT",9252,0,0,14358.53,513000
156121,23,900,"LIQUIDITY",2025-02-25,2025-02-25,"",17000,0,220.4,"GBP","COUPON_PAYMENT",9228,0,0,220.4,17000
156122,28,887,"TRADING",2025-04-03,2025-04-03,"",739000,0,11074.37,"HUF","COUPON_PAYMENT",8980,0,0,11074.37,739000
156123,28,887,"TRADING",2026-07-03,2026-07-03,"",671000,0,4485.56,"HUF","COUPON_PAYMENT",8985,0,0,4485.56,671000
156124,3,904,"LIQUIDITY",2025-08-02,2025-08-02,"",545000,0,13925.97,"HUF","COUPON_PAYMENT",9273,0,0,13925.97,545000
156125,3,881,"TRADING",2025-08-24,2025-08-24,"",31000,0,1682.29,"EUR","COUPON_PAYMENT",8882,0,0,1682.29,31000
156126,3,890,"LIQUIDITY",2025-06-10,2025-06-10,"",40000,0,3013.56,"EUR","COUPON_PAYMENT",9030,0,0,3013.56,40000
156127,29,898,"INVESTMENT",2024-04-07,2024-04-07,"",13000,0,209.57,"GBP","COUPON_PAYMENT",9158,0,0,209.57,13000
156128,22,899,"LIQUIDITY",2026-12-04,2026-12-04,"",257000,0,4664.97,"EUR","COUPON_PAYMENT",9197,0,0,4664.97,257000
156129,2,895,"LIQUIDITY",2024-02-25,2024-02-25,"",85000,0,1264.12,"USD","COUPON_PAYMENT",9091,0,0,1264.12,85000
156130,23,904,"TRADING",2026-02-02,2026-02-02,"",875000,0,19813.59,"HUF","COUPON_PAYMENT",9274,0,0,19813.59,875000
156131,1,892,"LIQUIDITY",2026-08-11,2026-08-11,"",690000,0,9664.78,"GBP","COUPON_PAYMENT",9047,0,0,9664.78,690000
156132,26,888,"LIQUIDITY",2024-08-05,2024-08-05,"",427000,0,10399.21,"GBP","COUPON_PAYMENT",8990,0,0,10399.21,427000
156133,1,892,"INVESTMENT",2025-08-11,2025-08-11,"",78000,0,2374.49,"GBP","COUPON_PAYMENT",9045,0,0,2374.49,78000
156134,27,904,"INVESTMENT",2025-02-02,2025-02-02,"",441000,0,12807.64,"HUF","COUPON_PAYMENT",9272,0,0,12807.64,441000
156135,2,897,"LIQUIDITY",2025-01-14,2025-01-14,"",15000,0,439.83,"GBP","COUPON_PAYMENT",9134,0,0,439.83,15000
156136,31,895,"TRADING",2025-05-25,2025-05-25,"",12000,0,205.81,"USD","COUPON_PAYMENT",9096,0,0,205.81,12000
156137,21,886,"INVESTMENT",2024-10-16,2024-10-16,"",490000,0,8135.65,"HUF","COUPON_PAYMENT",8965,0,0,8135.65,490000
156138,31,904,"TRADING",2026-08-02,2026-08-02,"",136000,0,1195.73,"HUF","COUPON_PAYMENT",9275,0,0,1195.73,136000
156139,24,892,"INVESTMENT",2026-08-11,2026-08-11,"",542000,0,7591.75,"GBP","COUPON_PAYMENT",9047,0,0,7591.75,542000
156774,25,886,"INVESTMENT",2024-10-16,2024-10-16,"",782000,0,12983.83,"HUF","COUPON_PAYMENT",8965,0,0,12983.83,782000
156775,25,884,"INVESTMENT",2024-12-08,2024-12-08,"",707000,0,13741.15,"USD","COUPON_PAYMENT",8938,0,0,13741.15,707000
156776,25,884,"INVESTMENT",2025-03-08,2025-03-08,"",1355000,0,5506.13,"USD","COUPON_PAYMENT",8939,0,0,5506.13,1355000
156777,29,902,"INVESTMENT",2025-11-30,2025-11-30,"",18000,0,244.59,"EUR","COUPON_PAYMENT",9254,0,0,244.59,18000
156778,2,891,"TRADING",2024-09-15,2024-09-15,"",454000,0,16352.85,"GBP","COUPON_PAYMENT",9035,0,0,16352.85,454000
156779,2,884,"LIQUIDITY",2025-03-08,2025-03-08,"",43000,0,174.73,"USD","COUPON_PAYMENT",8939,0,0,174.73,43000
156780,23,890,"LIQUIDITY",2026-10-14,2026-10-14,"",500000,0,11732.84,"EUR","COUPON_PAYMENT",9032,0,0,11732.84,500000
156781,22,892,"INVESTMENT",2025-08-11,2025-08-11,"",1238000,0,37687.46,"GBP","COUPON_PAYMENT",9045,0,0,37687.46,1238000
156782,30,884,"LIQUIDITY",2026-06-08,2026-06-08,"",71000,0,618.39,"USD","COUPON_PAYMENT",8944,0,0,618.39,71000
156783,31,897,"INVESTMENT",2025-07-14,2025-07-14,"",265000,0,7463.75,"GBP","COUPON_PAYMENT",9135,0,0,7463.75,265000
156784,28,895,"LIQUIDITY",2025-08-25,2025-08-25,"",558000,0,11567.62,"USD","COUPON_PAYMENT",9097,0,0,11567.62,558000
156785,3,892,"INVESTMENT",2025-08-11,2025-08-11,"",371000,0,11294.06,"GBP","COUPON_PAYMENT",9045,0,0,11294.06,371000
156786,3,884,"INVESTMENT",2025-06-08,2025-06-08,"",324000,0,5344.78,"USD","COUPON_PAYMENT",8940,0,0,5344.78,324000
156787,3,884,"INVESTMENT",2026-09-08,2026-09-08,"",341000,0,4771.55,"USD","COUPON_PAYMENT",8945,0,0,4771.55,341000
156788,3,884,"INVESTMENT",2026-12-08,2026-12-08,"",798000,0,6186.06,"USD","COUPON_PAYMENT",8946,0,0,6186.06,798000
156789,1,881,"TRADING",2025-08-24,2025-08-24,"",572000,0,31040.95,"EUR","COUPON_PAYMENT",8882,0,0,31040.95,572000
156790,27,893,"LIQUIDITY",2025-04-25,2025-04-25,"",454000,0,6912.84,"HUF","COUPON_PAYMENT",9074,0,0,6912.84,454000
156791,31,894,"LIQUIDITY",2026-08-02,2026-08-02,"",754000,0,45626.8,"HUF","COUPON_PAYMENT",9081,0,0,45626.8,754000
156792,21,895,"LIQUIDITY",2025-05-25,2025-05-25,"",970000,0,16636.38,"USD","COUPON_PAYMENT",9096,0,0,16636.38,970000
156793,3,888,"LIQUIDITY",2025-02-05,2025-02-05,"",1589000,0,34906.45,"GBP","COUPON_PAYMENT",8991,0,0,34906.45,1589000
156794,22,886,"LIQUIDITY",2026-10-16,2026-10-16,"",248000,0,6842.57,"HUF","COUPON_PAYMENT",8967,0,0,6842.57,248000
156795,30,891,"LIQUIDITY",2025-09-15,2025-09-15,"",525000,0,33306.02,"GBP","COUPON_PAYMENT",9036,0,0,33306.02,525000
156796,2,901,"INVESTMENT",2025-01-26,2025-01-26,"",473000,0,10265.48,"HUF","COUPON_PAYMENT",9237,0,0,10265.48,473000
156797,2,901,"INVESTMENT",2026-01-26,2026-01-26,"",36000,0,737.35,"HUF","COUPON_PAYMENT",9239,0,0,737.35,36000
156798,24,898,"TRADING",2026-07-07,2026-07-07,"",959000,0,11011.41,"GBP","COUPON_PAYMENT",9167,0,0,11011.41,959000
156799,25,904,"INVESTMENT",2024-08-02,2024-08-02,"",39000,0,579.94,"HUF","COUPON_PAYMENT",9271,0,0,579.94,39000
156800,30,892,"LIQUIDITY",2025-02-11,2025-02-11,"",1259000,0,19654.58,"GBP","COUPON_PAYMENT",9044,0,0,19654.58,1259000
